entry_id	section	title	path	exists	status	one_line_use	residual_note
Z011-ENTRY-001	one_page_entrypoint	LOCAL_ACCEPTANCE_README	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/LOCAL_ACCEPTANCE_README.md	true	LOCAL_UNCOMMITTED_DOCUMENTATION	一页式入口，汇总怎么跑、看什么、不能外推什么。	明确保留 full_browser_route_smoke_closed=false 与 remote_lifecycle_parked=true。
Z011-ENTRY-002	shortest_run_entry	Z009 orchestrator script	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/verify_local_acceptance_orchestrator.py	true	LOCAL_COMMITTED	统一串联 Z008 八项本地验收脚本的单入口执行器。	闭合模式为 SKIP_AWARE_LOCAL_CLOSED_WITH_RESIDUAL。
Z011-ENTRY-003	shortest_run_entry	post-orchestrator regression gate script	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/verify_post_orchestrator_regression_gate.py	true	LOCAL_COMMITTED	从当前 HEAD 复核自动化结果、守卫状态和文档一致性。	预期保持 full_browser_route_smoke_closed=false，不视为失败。
Z011-ENTRY-004	shortest_run_entry	Z010 runbook	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/Z010_本地验收运行手册.md	true	LOCAL_COMMITTED	提供单项脚本、orchestrator 和回归 gate 的运行命令模板。	保留 Z008-SCRIPT-005 可能 SKIPPED_BY_BOUNDARY 的解释。
Z011-ENTRY-005	shortest_read_entry	Z010 handoff overview	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/Z010_本地验收交接包总览.md	true	LOCAL_COMMITTED	快速查看本地验收总体结论和交接入口路径。	明确生产 readback/go-live/远端生命周期仍未闭合。
Z011-ENTRY-006	shortest_read_entry	Z010 evidence file map	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/Z010_本地证据索引与文件地图.md	true	LOCAL_COMMITTED	定位 Z005-Z010 关键证据文件与用途。	用于核对本地证据完整性，不替代生产取证。
Z011-ENTRY-007	shortest_read_entry	Z010 residual risk and blocker note	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/Z010_残余风险与外部阻断说明.md	true	LOCAL_COMMITTED	明确残余风险、唯一解阻条件和禁止捷径。	包含 Z009_BROWSER_LOGIN_READY 与生产/远端外部阻断。
Z011-ENTRY-008	shortest_read_entry	Z010 browser manual precondition	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/Z010_浏览器登录态人工前置操作说明.md	true	LOCAL_COMMITTED	指导用户人工准备本地登录态，不触达敏感存储。	仅允许本地会话前置，不允许自动登录与凭据导出。
Z011-ENTRY-009	state_anchor	Z010 final local status refresh	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z010b_10_final_local_status_refresh.json	true	LOCAL_ARCHIVED	锚定 Z010 文档主线已本地闭合且保留未闭合外部状态。	要求 production_readback_ready=false 与 remote_lifecycle_parked=true。
Z011-ENTRY-010	state_anchor	Z009 final local status refresh	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_19_final_local_status_refresh.json	true	LOCAL_ARCHIVED	锚定 Z009 orchestrator 的 skip-aware 本地闭合语义。	保留 Z008-SCRIPT-005=SKIPPED_BY_BOUNDARY 与 full_browser_route_smoke_closed=false。
