entry_id	path	status	line_count	trailing_whitespace_count	eof_single_newline	error
E001	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z008B-02-IMPL_JSON_TSV一致性自动化实现与回归报告.md	PASS	56	0	true	null
E002	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/verify_json_tsv_consistency.py	PASS	317	0	true	null
E003	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_json_tsv_consistency_manifest.json	PASS	111	0	true	null
E004	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_json_tsv_consistency_result.json	PASS	217	0	true	null
E005	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_json_tsv_consistency_result.tsv	PASS	11	0	true	null
E006	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z008B-03_B02_JSON_TSV一致性自动化结果冻结与提交候选账本报告.md	PASS	43	0	true	null
E007	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_03_b02_json_tsv_consistency_freeze.json	PASS	22	0	true	null
E008	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_03_commit_candidate_ledger.json	PASS	73	0	true	null
E009	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_03_commit_candidate_ledger.tsv	PASS	11	0	true	null
E010	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z008B-06_JSON_TSV一致性自动化提交后归档与候选刷新报告.md	PASS	41	0	true	null
E011	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_06_remaining_candidate_refresh.json	PASS	120	0	true	null
E012	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_06_remaining_candidate_refresh.tsv	PASS	8	0	true	null
E013	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-52-IMPL_生产只读访问包与远端授权清单模板生成报告.md	PASS	51	0	true	null
E014	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_production_readonly_access_packet_template.json	PASS	191	0	true	null
E015	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_production_readonly_access_packet_template.tsv	PASS	4	0	true	null
E016	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.json	PASS	96	0	true	null
E017	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.tsv	PASS	5	0	true	null
E018	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-58-IMPL_Z007上线前本地审计包完整性收敛执行报告.md	PASS	88	0	true	null
E019	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.json	PASS	135	0	true	null
E020	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.tsv	PASS	13	0	true	null
E021	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.json	PASS	95	0	true	null
E022	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.tsv	PASS	8	0	true	null
