check_id	check_type	status	target	error_count	detail
Z007-B58-REPORT-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-58-IMPL_Z007上线前本地审计包完整性收敛执行报告.md	0	null
Z007-B58-REPORT	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-58-IMPL_Z007上线前本地审计包完整性收敛执行报告.md	0	null
Z007-B58-EVIDENCE-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.json	0	null
Z007-B58-EVIDENCE-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.json	0	null
Z007-B58-EVIDENCE-TSV-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.tsv	0	null
Z007-B58-EVIDENCE-TSV	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.tsv	0	null
Z007-B58-COVERAGE-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.json	0	null
Z007-B58-COVERAGE-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.json	0	null
Z007-B58-COVERAGE-TSV-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.tsv	0	null
Z007-B58-COVERAGE-TSV	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.tsv	0	null
Z007-B58-BLOCKER-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.json	0	null
Z007-B58-BLOCKER-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.json	0	null
Z007-B58-BLOCKER-TSV-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.tsv	0	null
Z007-B58-BLOCKER-TSV	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.tsv	0	null
Z007-B58-GATE-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_gate_command_template.json	0	null
Z007-B58-GATE-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_gate_command_template.json	0	null
Z007-B58-GATE-TSV-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_gate_command_template.tsv	0	null
Z007-B58-GATE-TSV	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_gate_command_template.tsv	0	null
Z007-B59-REPORT-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-59_B58上线前本地审计包结果冻结与提交候选账本报告.md	0	null
Z007-B59-REPORT	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-59_B58上线前本地审计包结果冻结与提交候选账本报告.md	0	null
Z007-B59-FREEZE-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_59_b58_local_audit_packet_freeze.json	0	null
Z007-B59-FREEZE-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_59_b58_local_audit_packet_freeze.json	0	null
Z007-B59-LEDGER-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_59_commit_candidate_ledger.json	0	null
Z007-B59-LEDGER-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_59_commit_candidate_ledger.json	0	null
