check_id	check_name	status	evidence
B40-CHECK-001	b39_c_pass_checked	PASS	TASK-Z014B-39-IMPL C PASS is the stated prerequisite for B40.
B40-CHECK-002	b39_impl_json_tsv_22_22_pass	PASS	22/22 PASS
B40-CHECK-003	selected_candidate_id	PASS	Z014-CAND-016
B40-CHECK-004	route_hit_count	PASS	1/1
B40-CHECK-005	screenshot_count_at_least_4	PASS	4
B40-CHECK-006	screenshot_paths_exist	PASS	/tmp/task_z014b40_sales_inventory_stock_ledger_regression_screenshots/01_route_initial.png; /tmp/task_z014b40_sales_inventory_stock_ledger_regression_screenshots/02_after_filter_reset.png; /tmp/task_z014b40_sales_inventory_stock_ledger_regression_screenshots/03_after_pagination_detail.png; /tmp/task_z014b40_sales_inventory_stock_ledger_regression_screenshots/04_guarded_anchors_readonly.png
B40-CHECK-007	request_methods_get_only	PASS	["GET"]
B40-CHECK-008	write_request_count_zero	PASS	0
B40-CHECK-009	unexpected_write_request_count_zero	PASS	0
B40-CHECK-010	forbidden_request_count_zero	PASS	0
B40-CHECK-011	blocking_console_error_count_zero	PASS	0
B40-CHECK-012	blocking_response_error_count_zero	PASS	0
B40-CHECK-013	network_error_count_zero	PASS	0
B40-CHECK-014	export_download_print_sync_not_called	PASS	false
B40-CHECK-015	sales_order_draft_write_not_called	PASS	false
B40-CHECK-016	stock_adjustment_or_transfer_write_not_called	PASS	false
B40-CHECK-017	filter_or_query_evidence_recorded	PASS	{"name":"filter_or_query","found":true,"clicked":true,"label":"查询"}
B40-CHECK-018	reset_evidence_recorded	PASS	{"name":"reset","found":true,"clicked":true,"label":"重置"}
B40-CHECK-019	pagination_evidence_recorded	PASS	{"name":"pagination_next","found":true,"clicked":true,"label":"Next Month"}
B40-CHECK-020	detail_drawer_recorded_or_absent	PASS	{"name":"detail_drawer","found":false,"clicked":false}
B40-CHECK-021	guarded_anchors_inspected_without_clicking	PASS	{"count":71,"note":"guard anchors inspected without clicking dangerous actions"}
B40-CHECK-022	expected_non_blocking_errors_classified	PASS	[{"type":"response","status":500,"url":"http://127.0.0.1:5173/api/auth/me","note":"local auth readback non-blocking only"},{"type":"response","status":404,"url":"http://127.0.0.1:5173/favicon.ico","note":"browser favicon request non-blocking only"}]
B40-CHECK-023	code_changed_no	PASS	NO
