id	name	status	detail
B25-01	B24 C PASS checked	PASS	上游 B24 已由审计窗口通过。
B25-02	selected_candidate_id is Z014-CAND-014	PASS	Z014-CAND-014
B25-03	route hit count is 3/3	PASS	3/3
B25-04	screenshot count at least 6	PASS	6
B25-05	all screenshot paths exist	PASS	/tmp/task_z014b25_factory_statement_screenshots/list_01_initial.png; /tmp/task_z014b25_factory_statement_screenshots/list_02_after_readonly_probe.png; /tmp/task_z014b25_factory_statement_screenshots/detail_01_initial.png; /tmp/task_z014b25_factory_statement_screenshots/detail_02_readonly_detail_state.png; /tmp/task_z014b25_factory_statement_screenshots/print_01_initial.png; /tmp/task_z014b25_factory_statement_screenshots/print_02_readonly_print_route.png
B25-06	list route screenshot covered	PASS	list
B25-07	detail route screenshot covered	PASS	detail
B25-08	print route screenshot covered	PASS	print
B25-09	request methods only GET	PASS	["GET"]
B25-10	write_request_count is 0	PASS	0
B25-11	unexpected_write_request_count is 0	PASS	0
B25-12	forbidden_request_count is 0	PASS	0
B25-13	blocking_console_error_count is 0	PASS	0
B25-14	blocking_response_error_count is 0	PASS	0
B25-15	network_error_count is 0	PASS	0
B25-16	export/download/print action/sync not called	PASS	false
B25-17	print route access only, no system print action	PASS	true
B25-18	browser result JSON parse	PASS	04_测试与验收/测试证据/z014_frontend_testable_gap/z014_factory_statement_interaction_browser_result.json
B25-19	product/backend/source edits not performed	PASS	evidence-only outputs only
