decision	path	category	reason
YES	03_需求与设计/02_开发计划/TASK-Z028B-02-PREP_CAND001边界冻结报告.md	B02 boundary evidence	CAND001 boundary report
YES	03_需求与设计/02_开发计划/task_z028b_02_cand001_boundary.json	B02 boundary evidence	CAND001 boundary JSON
YES	03_需求与设计/02_开发计划/task_z028b_02_cand001_boundary.tsv	B02 boundary evidence	CAND001 boundary TSV
YES	03_需求与设计/02_开发计划/TASK-Z028B-03-IMPL_CAND001单文件验证报告.md	B03 readonly result evidence	Initial readonly validation report
YES	03_需求与设计/02_开发计划/task_z028b_03_cand001_result.json	B03 readonly result evidence	Initial readonly validation result JSON
YES	03_需求与设计/02_开发计划/task_z028b_03_cand001_result.tsv	B03 readonly result evidence	Initial readonly validation result TSV
YES	03_需求与设计/02_开发计划/task_z028b_03_cand001_stdout.txt	B03 readonly result evidence	Initial readonly validation stdout
YES	03_需求与设计/02_开发计划/TASK-Z028B-04-PREP-CAND001-FAILURE-DIAG_失败定位报告.md	B04 failure boundary evidence	Failure diagnosis report
YES	03_需求与设计/02_开发计划/task_z028b_04_cand001_failure_boundary.json	B04 failure boundary evidence	Failure boundary JSON
YES	03_需求与设计/02_开发计划/task_z028b_04_cand001_failure_boundary.tsv	B04 failure boundary evidence	Failure boundary TSV
YES	03_需求与设计/02_开发计划/TASK-Z028B-05-FIX-CAND001_factory_statement_confirm_cancel修复报告.md	B05 fix evidence	Allowed test-contract fix report
YES	03_需求与设计/02_开发计划/task_z028b_05_cand001_fix_result.json	B05 fix evidence	Allowed test-contract fix result JSON
YES	03_需求与设计/02_开发计划/task_z028b_05_cand001_fix_result.tsv	B05 fix evidence	Allowed test-contract fix result TSV
YES	03_需求与设计/02_开发计划/task_z028b_05_cand001_fix_stdout.txt	B05 fix evidence	Allowed test-contract fix stdout
YES	03_需求与设计/02_开发计划/TASK-Z028B-05-FIX-CAND001-SCOPE-DIAG_范围归因报告.md	B05 scope diag evidence	Scope isolation report
YES	03_需求与设计/02_开发计划/task_z028b_05_cand001_scope_diag.json	B05 scope diag evidence	Scope isolation JSON
YES	03_需求与设计/02_开发计划/task_z028b_05_cand001_scope_diag.tsv	B05 scope diag evidence	Scope isolation TSV
