path	decision	category	reason	exists
03_需求与设计/02_开发计划/TASK-Z024B-31-PREP_Z024候选005边界冻结报告.md	YES	cand005_evidence	CAND005 B31/B32/B33 evidence-only artifact allowed for ledger	true
03_需求与设计/02_开发计划/task_z024b_31_cand005_boundary.json	YES	cand005_evidence	CAND005 B31/B32/B33 evidence-only artifact allowed for ledger	true
03_需求与设计/02_开发计划/task_z024b_31_cand005_boundary.tsv	YES	cand005_evidence	CAND005 B31/B32/B33 evidence-only artifact allowed for ledger	true
03_需求与设计/02_开发计划/TASK-Z024B-32-IMPL_Z024候选005单文件验证报告.md	YES	cand005_evidence	CAND005 B31/B32/B33 evidence-only artifact allowed for ledger	true
03_需求与设计/02_开发计划/task_z024b_32_cand005_result.json	YES	cand005_evidence	CAND005 B31/B32/B33 evidence-only artifact allowed for ledger	true
03_需求与设计/02_开发计划/task_z024b_32_cand005_result.tsv	YES	cand005_evidence	CAND005 B31/B32/B33 evidence-only artifact allowed for ledger	true
03_需求与设计/02_开发计划/task_z024b_32_cand005_stdout.txt	YES	cand005_evidence	CAND005 B31/B32/B33 evidence-only artifact allowed for ledger	true
03_需求与设计/02_开发计划/TASK-Z024B-33-LEDGER-CAND005_Z024候选005账本冻结报告.md	YES	cand005_evidence	CAND005 B31/B32/B33 evidence-only artifact allowed for ledger	true
03_需求与设计/02_开发计划/task_z024b_33_cand005_freeze.json	YES	cand005_evidence	CAND005 B31/B32/B33 evidence-only artifact allowed for ledger	true
03_需求与设计/02_开发计划/task_z024b_33_cand005_ledger.json	YES	cand005_evidence	CAND005 B31/B32/B33 evidence-only artifact allowed for ledger	true
03_需求与设计/02_开发计划/task_z024b_33_cand005_ledger.tsv	YES	cand005_evidence	CAND005 B31/B32/B33 evidence-only artifact allowed for ledger	true
.github	NO	excluded_scope	Outside CAND005 evidence-only ledger scope	true
.pytest_cache	NO	runtime_cache_dependency_excluded	Outside CAND005 evidence-only ledger scope	false
.venv	NO	runtime_cache_dependency_excluded	Outside CAND005 evidence-only ledger scope	false
03_需求与设计/02_开发计划/TASK-Z022B-51-FINAL-FREEZE_Z022本地候选池最终冻结报告.md	NO	z015_z023_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z023B-45-FINAL-FREEZE_Z023本地候选池最终冻结报告.md	NO	z015_z023_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-01-PREP_Z024本地候选池重建报告.md	NO	candidate_pool_or_boundary_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-02-PREP_Z024候选001边界冻结报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-03-IMPL_Z024候选001单文件验证报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-04-LEDGER-CAND001_Z024候选001账本冻结报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-05-STAGE-CAND001_Z024候选001显式暂存报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-06-COMMIT-CAND001_Z024候选001提交报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-07-ARCHIVE-CAND001_Z024候选001归档确认报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-09-PREP_Z024候选002边界冻结报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-10-IMPL_Z024候选002单文件验证报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-11-PREP-CAND002-FAILURE-DIAG_Z024候选002失败定位报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-12-FIX-CAND002_Z024候选002quality-models测试合同修复报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-13-LEDGER-CAND002_Z024候选002账本冻结报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-14-STAGE-CAND002_Z024候选002显式暂存报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-15-COMMIT-CAND002_Z024候选002提交报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-16-ARCHIVE-CAND002_Z024候选002归档确认报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-18-PREP_Z024候选003边界冻结报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-19-IMPL_Z024候选003单文件验证报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-20-LEDGER-CAND003_Z024候选003账本冻结报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-21-STAGE-CAND003_Z024候选003显式暂存报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-22-COMMIT-CAND003_Z024候选003提交报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-23-ARCHIVE-CAND003_Z024候选003归档确认报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-25-PREP_Z024候选004边界冻结报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-26-IMPL_Z024候选004单文件验证报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-27-LEDGER-CAND004_Z024候选004账本冻结报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-28-STAGE-CAND004_Z024候选004显式暂存报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-29-COMMIT-CAND004_Z024候选004提交报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/TASK-Z024B-30-ARCHIVE-CAND004_Z024候选004归档确认报告.md	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/task_z006b_07_z006_candidate_refresh_after_cand002.json	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/task_z006b_07_z006_candidate_refresh_after_cand002.tsv	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/task_z006b_13_z006_candidate_refresh_after_cand003.json	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/task_z006b_13_z006_candidate_refresh_after_cand003.tsv	NO	other_candidate_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/task_z022b_21_cand001_commit_candidate_ledger_refreeze.json	NO	z015_z023_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/task_z022b_21_cand001_commit_candidate_ledger_refreeze.tsv	NO	z015_z023_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/task_z022b_21_cand001_quality_create_baseline_refreeze.json	NO	z015_z023_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/task_z022b_22_cand001_refreeze_stage_fix1_result.json	NO	z015_z023_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/task_z022b_22_cand001_refreeze_stage_fix1_result.tsv	NO	z015_z023_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
03_需求与设计/02_开发计划/task_z022b_22_cand001_stage_result.json	NO	z015_z023_artifacts_excluded	Outside CAND005 evidence-only ledger scope	true
