path	decision	category	reason
03_需求与设计/02_开发计划/TASK-Z022B-25-PREP-CAND003-REANCHOR_Z022候选003状态重锚报告.md	YES	tightened_mainline_cand003_reanchor_evidence	B25 reanchor report
03_需求与设计/02_开发计划/task_z022b_25_cand003_reanchor_boundary.json	YES	tightened_mainline_cand003_reanchor_evidence	B25 reanchor boundary JSON
03_需求与设计/02_开发计划/task_z022b_25_cand003_reanchor_boundary.tsv	YES	tightened_mainline_cand003_reanchor_evidence	B25 reanchor boundary TSV
03_需求与设计/02_开发计划/TASK-Z022B-26-PREP-CAND003-DIRTY-DIFF-REVIEW_Z022候选003dirty评审报告.md	YES	tightened_mainline_cand003_dirty_review_evidence	B26 dirty review report
03_需求与设计/02_开发计划/task_z022b_26_cand003_dirty_diff_review_boundary.json	YES	tightened_mainline_cand003_dirty_review_evidence	B26 dirty review boundary JSON
03_需求与设计/02_开发计划/task_z022b_26_cand003_dirty_diff_review_boundary.tsv	YES	tightened_mainline_cand003_dirty_review_evidence	B26 dirty review boundary TSV
03_需求与设计/02_开发计划/TASK-Z022B-27-IMPL-CAND003-REVALIDATE_Z022候选003单文件重验证报告.md	YES	tightened_mainline_cand003_revalidate_evidence	B27 revalidate report
03_需求与设计/02_开发计划/task_z022b_27_cand003_revalidate_result.json	YES	tightened_mainline_cand003_revalidate_evidence	B27 revalidate result JSON
03_需求与设计/02_开发计划/task_z022b_27_cand003_revalidate_result.tsv	YES	tightened_mainline_cand003_revalidate_evidence	B27 revalidate result TSV
03_需求与设计/02_开发计划/task_z022b_27_cand003_revalidate_stdout.txt	YES	tightened_mainline_cand003_revalidate_evidence	B27 single-file pytest stdout
03_需求与设计/02_开发计划/TASK-Z022B-28-PREP-CAND003-FAILURE-DIAG_Z022候选003失败定位报告.md	YES	tightened_mainline_cand003_failure_diag_evidence	B28 failure diagnosis report
03_需求与设计/02_开发计划/task_z022b_28_cand003_failure_diag_boundary.json	YES	tightened_mainline_cand003_failure_diag_evidence	B28 failure diagnosis JSON
