field	value
task_id	TASK-Z028B-14-FIX-CAND002
candidate_id	Z028-CAND-002
source_failure_task	TASK-Z028B-13-PREP-CAND002-FAILURE-DIAG
classification	TEST_CONTRACT_UPDATE_ALLOWED
changed_files	07_后端/lingyi_service/tests/test_factory_statement_idempotency.py
command	.venv/bin/python -m pytest tests/test_factory_statement_idempotency.py -q
workdir	07_后端/lingyi_service
command_run_count	1
exit_code	0
result	PASS
pytest_summary	12 passed, 34 warnings in 1.12s
assertions_preserved	true
skip_xfail_deleted_cases	false
backend_app_changed	false
frontend_changed	false
unrelated_tests_changed	false
historical_dirty_forbidden_staged	[]
cached_empty	true
git_diff_check	PASS
stage_performed	false
commit_performed	false
push_performed	false
tag_performed	false
pr_performed	false
release_performed	false
remote_lifecycle_parked	true
production_readback_ready	false
go_live_ready	false
project_completion_claimed	false
