candidate_id	evidence_only	path	decision	reason
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z033B-09-PREP_CAND002_边界冻结报告.md	YES	CAND002 B09/B10/B11 evidence only
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_09_cand002_boundary.json	YES	CAND002 B09/B10/B11 evidence only
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_09_cand002_boundary.tsv	YES	CAND002 B09/B10/B11 evidence only
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z033B-10-IMPL_CAND002_单文件验证报告.md	YES	CAND002 B09/B10/B11 evidence only
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_10_cand002_result.json	YES	CAND002 B09/B10/B11 evidence only
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_10_cand002_result.tsv	YES	CAND002 B09/B10/B11 evidence only
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_10_cand002_stdout.txt	YES	CAND002 B09/B10/B11 evidence only
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z033B-11-LEDGER-CAND002_账本冻结报告.md	YES	CAND002 B09/B10/B11 evidence only
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_11_cand002_ledger_freeze.json	YES	CAND002 B09/B10/B11 evidence only
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_11_cand002_ledger.json	YES	CAND002 B09/B10/B11 evidence only
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_11_cand002_ledger.tsv	YES	CAND002 B09/B10/B11 evidence only
Z033-CAND-002	true	07_后端/lingyi_service/tests/test_sales_inventory_enhanced.py	NO	target test excluded from evidence-only YES
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z033B-01-PREP_候选池重建报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_01_candidate_pool.json	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_01_candidate_pool.tsv	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z033B-01-PREP-FIX1_候选池修复报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_01_prep_fix1_result.json	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_01_prep_fix1_result.tsv	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z033B-08-PREP_剩余候选刷新报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_08_refresh.json	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_08_refresh.tsv	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z033B-02-PREP_CAND001_边界冻结报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_02_cand001_boundary.json	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_02_cand001_boundary.tsv	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z033B-03-IMPL_CAND001_单文件验证报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_03_cand001_result.json	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_03_cand001_result.tsv	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_03_cand001_stdout.txt	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z033B-04-LEDGER-CAND001_账本冻结报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_04_cand001_ledger_freeze.json	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_04_cand001_ledger.json	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_04_cand001_ledger.tsv	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z033B-05-STAGE-CAND001_暂存结果报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_05_cand001_stage_result.json	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_05_cand001_stage_result.tsv	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z033B-06-COMMIT-CAND001_提交结果报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_06_cand001_commit_result.json	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_06_cand001_commit_result.tsv	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z033B-07-ARCHIVE-CAND001_归档确认报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_07_cand001_archive_result.json	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z033b_07_cand001_archive_result.tsv	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	06_前端	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	07_后端/lingyi_service/app	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	00_交接与日志/HANDOVER_STATUS.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/01_架构设计/架构师会话日志.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	runtime	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	cache	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	07_后端/lingyi_service/tests/test_ci_postgresql_gate.py	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-01-PREP_候选池重建报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-09-PREP_CAND002只读验证边界报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-10-IMPL_CAND002单文件验证报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-11-PREP-CAND002-FAILURE-DIAG_失败定位边界报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-12-FIX-CAND002_修复验证报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-13-PREP-CAND002-SECOND-FAILURE-DIAG_二次失败定位边界报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-14-FIX-CAND002-SECOND_二次修复验证报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-15-PREP-CAND002-THIRD-FAILURE-DIAG_三次失败定位边界报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-16-FIX-CAND002-THIRD_三次修复验证报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-17-LEDGER-CAND002_提交候选账本冻结报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-22-PREP_CAND003只读验证边界报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-23-IMPL_CAND003单文件验证报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-24-PREP-CAND003-FAILURE-DIAG_失败定位边界报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-25-FIX-CAND003_修复验证报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-26-PREP-CAND003-SECOND-FAILURE-DIAG_二次失败定位边界报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-27-FIX-CAND003-SECOND_二次修复验证报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-28-PREP-CAND003-THIRD-FAILURE-DIAG_三次失败定位边界报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-29-FIX-CAND003-THIRD_三次修复验证报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-30-LEDGER-CAND003_提交候选账本冻结报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-35-PREP_CAND004只读验证边界报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-36-IMPL_CAND004单文件验证报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-37-PREP-CAND004-FAILURE-DIAG_失败定位边界报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-38-FIX-CAND004_修复验证报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-39-PREP-CAND004-SECOND-FAILURE-DIAG_二次失败定位边界报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-40-FIX-CAND004-SECOND_二次修复验证报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/TASK-Z032B-41-LEDGER-CAND004_提交候选账本冻结报告.md	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z032b_01_candidate_pool.json	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z032b_01_candidate_pool.tsv	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z032b_09_cand002_boundary.json	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z032b_09_cand002_boundary.tsv	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z032b_10_cand002_result.json	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z032b_10_cand002_result.tsv	NO	excluded by evidence-only ledger rule
Z033-CAND-002	true	03_需求与设计/02_开发计划/task_z032b_10_cand002_stdout.txt	NO	excluded by evidence-only ledger rule
