path	decision	category	reason	exists
03_需求与设计/02_开发计划/TASK-Z025B-23-PREP_Z025候选004只读验证边界报告.md	YES	cand004_boundary_evidence	CAND004 B23 boundary report	true
03_需求与设计/02_开发计划/task_z025b_23_cand004_boundary.json	YES	cand004_boundary_evidence	CAND004 B23 boundary JSON	true
03_需求与设计/02_开发计划/task_z025b_23_cand004_boundary.tsv	YES	cand004_boundary_evidence	CAND004 B23 boundary TSV	true
03_需求与设计/02_开发计划/TASK-Z025B-24-IMPL_Z025候选004production-plan只读验证报告.md	YES	cand004_initial_impl_evidence	CAND004 B24 initial readonly pytest report	true
03_需求与设计/02_开发计划/task_z025b_24_cand004_result.json	YES	cand004_initial_impl_evidence	CAND004 B24 initial FAIL result JSON	true
03_需求与设计/02_开发计划/task_z025b_24_cand004_result.tsv	YES	cand004_initial_impl_evidence	CAND004 B24 initial FAIL result TSV	true
03_需求与设计/02_开发计划/task_z025b_24_cand004_stdout.txt	YES	cand004_initial_impl_evidence	CAND004 B24 initial FAIL stdout	true
03_需求与设计/02_开发计划/TASK-Z025B-25-PREP-CAND004-FAILURE-DIAG_Z025候选004失败定位报告.md	YES	cand004_first_diag_evidence	CAND004 B25 first failure diagnosis report	true
03_需求与设计/02_开发计划/task_z025b_25_cand004_failure_diag_boundary.json	YES	cand004_first_diag_evidence	CAND004 B25 first failure boundary JSON	true
03_需求与设计/02_开发计划/task_z025b_25_cand004_failure_diag_boundary.tsv	YES	cand004_first_diag_evidence	CAND004 B25 first failure boundary TSV	true
03_需求与设计/02_开发计划/TASK-Z025B-26-FIX-CAND004_Z025候选004production-plan测试合同修复报告.md	YES	cand004_first_fix_evidence	CAND004 B26 first test contract fix report	true
03_需求与设计/02_开发计划/task_z025b_26_cand004_fix_result.json	YES	cand004_first_fix_evidence	CAND004 B26 first fix result JSON	true
03_需求与设计/02_开发计划/task_z025b_26_cand004_fix_result.tsv	YES	cand004_first_fix_evidence	CAND004 B26 first fix result TSV	true
03_需求与设计/02_开发计划/task_z025b_26_cand004_fix_stdout.txt	YES	cand004_first_fix_evidence	CAND004 B26 first fix stdout	true
03_需求与设计/02_开发计划/TASK-Z025B-27-PREP-CAND004-SECOND-FAILURE-DIAG_Z025候选004二次失败定位报告.md	YES	cand004_second_diag_evidence	CAND004 B27 second failure diagnosis report	true
03_需求与设计/02_开发计划/task_z025b_27_cand004_second_failure_diag_boundary.json	YES	cand004_second_diag_evidence	CAND004 B27 second failure boundary JSON	true
03_需求与设计/02_开发计划/task_z025b_27_cand004_second_failure_diag_boundary.tsv	YES	cand004_second_diag_evidence	CAND004 B27 second failure boundary TSV	true
03_需求与设计/02_开发计划/TASK-Z025B-28-FIX-CAND004-SECOND_Z025候选004production-plan二次测试合同修复报告.md	YES	cand004_final_fix_evidence	CAND004 B28 final second fix report	true
03_需求与设计/02_开发计划/task_z025b_28_cand004_second_fix_result.json	YES	cand004_final_fix_evidence	CAND004 B28 final PASS result JSON	true
03_需求与设计/02_开发计划/task_z025b_28_cand004_second_fix_result.tsv	YES	cand004_final_fix_evidence	CAND004 B28 final PASS result TSV	true
03_需求与设计/02_开发计划/task_z025b_28_cand004_second_fix_stdout.txt	YES	cand004_final_fix_evidence	CAND004 B28 final PASS stdout	true
