field	value
task_id	TASK-Z028B-20-PREP
candidate_id	Z028-CAND-003
source_task	TASK-Z028B-19-PREP
current_head	d62432bbb0b247ef6ec554bb8a6e12e4452388a0
module	quality_outbox
risk	LOW
frozen_command	.venv/bin/python -m pytest tests/test_quality_outbox.py -q
frozen_workdir	07_后端/lingyi_service
target_test_path	07_后端/lingyi_service/tests/test_quality_outbox.py
target_test_exists	true
target_test_dirty_diff	false
source_evidence_missing	[]
cached_empty	true
historical_dirty_forbidden_staged	[]
git_diff_check	PASS
next_task	TASK-Z028B-21-IMPL
run_this_task	false
stage_performed	false
commit_performed	false
push_performed	false
tag_performed	false
pr_performed	false
release_performed	false
remote_lifecycle_parked	true
production_readback_ready	false
go_live_ready	false
project_completion_claimed	false
