path	decision	reason
03_需求与设计/02_开发计划/TASK-Z026B-22-PREP_Z026候选003只读验证边界报告.md	YES	CAND003 B22 boundary artifact
03_需求与设计/02_开发计划/task_z026b_22_cand003_boundary.json	YES	CAND003 B22 boundary artifact
03_需求与设计/02_开发计划/task_z026b_22_cand003_boundary.tsv	YES	CAND003 B22 boundary artifact
03_需求与设计/02_开发计划/TASK-Z026B-23-IMPL_Z026候选003sales-inventory-api只读验证报告.md	YES	CAND003 B23 initial FAIL evidence
03_需求与设计/02_开发计划/task_z026b_23_cand003_result.json	YES	CAND003 B23 initial FAIL evidence
03_需求与设计/02_开发计划/task_z026b_23_cand003_result.tsv	YES	CAND003 B23 initial FAIL evidence
03_需求与设计/02_开发计划/task_z026b_23_cand003_stdout.txt	YES	CAND003 B23 initial FAIL stdout
03_需求与设计/02_开发计划/TASK-Z026B-24-PREP-CAND003-FAILURE-DIAG_Z026候选003失败定位报告.md	YES	CAND003 B24 failure diagnosis artifact
03_需求与设计/02_开发计划/task_z026b_24_cand003_failure_diag_boundary.json	YES	CAND003 B24 failure diagnosis artifact
03_需求与设计/02_开发计划/task_z026b_24_cand003_failure_diag_boundary.tsv	YES	CAND003 B24 failure diagnosis artifact
03_需求与设计/02_开发计划/TASK-Z026B-25-FIX-CAND003_Z026候选003sales-inventory-api测试合同修复报告.md	YES	CAND003 B25 PASS evidence
03_需求与设计/02_开发计划/task_z026b_25_cand003_fix_result.json	YES	CAND003 B25 PASS evidence
03_需求与设计/02_开发计划/task_z026b_25_cand003_fix_result.tsv	YES	CAND003 B25 PASS evidence
03_需求与设计/02_开发计划/task_z026b_25_cand003_fix_stdout.txt	YES	CAND003 B25 PASS stdout
03_需求与设计/02_开发计划/TASK-Z026B-26-LEDGER-CAND003_Z026候选003提交候选账本报告.md	YES	CAND003 B26 ledger artifact
03_需求与设计/02_开发计划/task_z026b_26_cand003_freeze.json	YES	CAND003 B26 freeze artifact
03_需求与设计/02_开发计划/task_z026b_26_cand003_ledger.json	YES	CAND003 B26 ledger artifact
03_需求与设计/02_开发计划/task_z026b_26_cand003_ledger.tsv	YES	CAND003 B26 ledger artifact
07_后端/lingyi_service/tests/test_sales_inventory_api.py	YES	Only allowed backend test fix file
06_前端	NO	Frontend forbidden
07_后端/lingyi_service/app	NO	Backend app forbidden
03_需求与设计/02_开发计划/工程师会话日志.md	NO	Shared engineer log forbidden
03_需求与设计/02_开发计划/task_z026b_01_candidate_pool.json	NO	Z026 candidate pool forbidden
03_需求与设计/02_开发计划/task_z026b_01_candidate_pool.tsv	NO	Z026 candidate pool forbidden
03_需求与设计/02_开发计划/TASK-Z026B-21-PREP_Z026剩余候选刷新报告.md	NO	B21 refresh forbidden
03_需求与设计/02_开发计划/task_z026b_21_remaining_candidate_refresh.json	NO	B21 refresh forbidden
03_需求与设计/02_开发计划/task_z026b_21_remaining_candidate_refresh.tsv	NO	B21 refresh forbidden
03_需求与设计/02_开发计划/TASK-Z026B-02-PREP_Z026候选001只读验证边界报告.md	NO	CAND001 artifact forbidden
03_需求与设计/02_开发计划/task_z026b_02_cand001_boundary.json	NO	CAND001 artifact forbidden
03_需求与设计/02_开发计划/task_z026b_09_cand001_archive_result.json	NO	CAND001 artifact forbidden
07_后端/lingyi_service/tests/test_factory_statement_audit.py	NO	CAND001 backend test forbidden
03_需求与设计/02_开发计划/TASK-Z026B-11-PREP_Z026候选002只读验证边界报告.md	NO	CAND002 artifact forbidden
03_需求与设计/02_开发计划/task_z026b_11_cand002_boundary.json	NO	CAND002 artifact forbidden
03_需求与设计/02_开发计划/TASK-Z026B-17-LEDGER-CAND002_Z026候选002提交候选账本报告.md	NO	CAND002 artifact forbidden
03_需求与设计/02_开发计划/task_z026b_17_cand002_ledger.json	NO	CAND002 artifact forbidden
03_需求与设计/02_开发计划/task_z026b_20_cand002_archive_result.json	NO	CAND002 artifact forbidden
07_后端/lingyi_service/tests/test_quality_api.py	NO	CAND002 backend test forbidden
07_后端/lingyi_service/tests/test_subcontract_exception_handling.py	NO	CAND004 future scope forbidden
07_后端/lingyi_service/tests/test_warehouse_inventory_count.py	NO	CAND005 future scope forbidden
03_需求与设计/02_开发计划/TASK-Z025B-41-FINAL-FREEZE_Z025本地候选池最终冻结报告.md	NO	Z015-Z025 existing artifact forbidden
03_需求与设计/02_开发计划/task_z025b_41_final_freeze.json	NO	Z015-Z025 existing artifact forbidden
03_需求与设计/02_开发计划/TASK-Z024B-37-FINAL-FREEZE_Z024本地候选池最终冻结报告.md	NO	Z015-Z025 existing artifact forbidden
03_需求与设计/02_开发计划/task_z024b_37_final_freeze.json	NO	Z015-Z025 existing artifact forbidden
07_后端/lingyi_service/.venv	NO	Runtime dependency forbidden
07_后端/lingyi_service/.pytest_cache	NO	Cache forbidden
07_后端/lingyi_service/__pycache__	NO	Cache forbidden
06_前端/lingyi-pc/node_modules	NO	Dependency directory forbidden
03_需求与设计/01_架构设计/架构师会话日志.md	NO	A architect log forbidden
03_需求与设计/05_审计记录	NO	C audit records forbidden
