decision	path	reason
YES	03_需求与设计/02_开发计划/TASK-Z026B-02-PREP_Z026候选001只读验证边界报告.md	CAND001 B02 boundary report
YES	03_需求与设计/02_开发计划/task_z026b_02_cand001_boundary.json	CAND001 B02 boundary JSON
YES	03_需求与设计/02_开发计划/task_z026b_02_cand001_boundary.tsv	CAND001 B02 boundary TSV
YES	03_需求与设计/02_开发计划/TASK-Z026B-03-IMPL_Z026候选001factory-statement-audit只读验证报告.md	CAND001 B03 initial validation report
YES	03_需求与设计/02_开发计划/task_z026b_03_cand001_result.json	CAND001 B03 initial validation result JSON
YES	03_需求与设计/02_开发计划/task_z026b_03_cand001_result.tsv	CAND001 B03 initial validation result TSV
YES	03_需求与设计/02_开发计划/task_z026b_03_cand001_stdout.txt	CAND001 B03 initial validation stdout
YES	03_需求与设计/02_开发计划/TASK-Z026B-04-PREP-CAND001-FAILURE-DIAG_Z026候选001失败定位报告.md	CAND001 B04 failure diagnosis report
YES	03_需求与设计/02_开发计划/task_z026b_04_cand001_failure_diag_boundary.json	CAND001 B04 failure diagnosis boundary JSON
YES	03_需求与设计/02_开发计划/task_z026b_04_cand001_failure_diag_boundary.tsv	CAND001 B04 failure diagnosis boundary TSV
YES	03_需求与设计/02_开发计划/TASK-Z026B-05-FIX-CAND001_Z026候选001factory-statement-audit测试合同修复报告.md	CAND001 B05 fix report
YES	03_需求与设计/02_开发计划/task_z026b_05_cand001_fix_result.json	CAND001 B05 fix result JSON
YES	03_需求与设计/02_开发计划/task_z026b_05_cand001_fix_result.tsv	CAND001 B05 fix result TSV
YES	03_需求与设计/02_开发计划/task_z026b_05_cand001_fix_stdout.txt	CAND001 B05 fix stdout
YES	07_后端/lingyi_service/tests/test_factory_statement_audit.py	Only allowed backend test fix for CAND001
YES	03_需求与设计/02_开发计划/TASK-Z026B-06-LEDGER-CAND001_Z026候选001提交候选账本报告.md	CAND001 B06 ledger report
YES	03_需求与设计/02_开发计划/task_z026b_06_cand001_freeze.json	CAND001 B06 freeze JSON
YES	03_需求与设计/02_开发计划/task_z026b_06_cand001_ledger.json	CAND001 B06 ledger JSON
YES	03_需求与设计/02_开发计划/task_z026b_06_cand001_ledger.tsv	CAND001 B06 ledger TSV
NO	06_前端	Frontend is forbidden
NO	07_后端/lingyi_service/app	Backend app code is forbidden
NO	07_后端/lingyi_service/tests/* (except test_factory_statement_audit.py)	Other backend tests are forbidden
NO	07_后端/* (except 07_后端/lingyi_service/tests/test_factory_statement_audit.py)	No other backend path is allowed
NO	03_需求与设计/02_开发计划/工程师会话日志.md	Shared engineer log is forbidden
NO	03_需求与设计/02_开发计划/TASK-Z026B-01-PREP_Z026本地候选池冻结报告.md	Z026 candidate pool is forbidden
