path	decision	category
06_前端/lingyi-pc/src/views/bom/BomDetail.vue	YES	frontend_code
03_需求与设计/02_开发计划/TASK-Z035B-10-PREP_CAND002_边界冻结报告.md	YES	b10_boundary_evidence
03_需求与设计/02_开发计划/task_z035b_10_cand002_boundary.json	YES	b10_boundary_evidence
03_需求与设计/02_开发计划/task_z035b_10_cand002_boundary.tsv	YES	b10_boundary_evidence
03_需求与设计/02_开发计划/TASK-Z035B-11-IMPL_CAND002_BOM只读业务流实施报告.md	YES	b11_implementation_evidence
03_需求与设计/02_开发计划/task_z035b_11_cand002_impl_result.json	YES	b11_implementation_evidence
03_需求与设计/02_开发计划/task_z035b_11_cand002_impl.tsv	YES	b11_implementation_evidence
04_测试与验收/测试证据/z035_cand002_bom_readonly_flow/dom_anchor_evidence.txt	YES	b11_evidence_dir
04_测试与验收/测试证据/z035_cand002_bom_readonly_flow/manifest.json	YES	b11_evidence_dir
04_测试与验收/测试证据/z035_cand002_bom_readonly_flow/route_evidence.txt	YES	b11_evidence_dir
04_测试与验收/测试证据/z035_cand002_bom_readonly_flow/screenshot_skip_reason.txt	YES	b11_evidence_dir
04_测试与验收/测试证据/z035_cand002_bom_readonly_flow/typecheck_evidence.txt	YES	b11_evidence_dir
03_需求与设计/02_开发计划/TASK-Z035B-12-REGRESSION-CAND002_BOM只读业务流回归报告.md	YES	b12_regression_evidence
03_需求与设计/02_开发计划/task_z035b_12_cand002_regression_result.json	YES	b12_regression_evidence
03_需求与设计/02_开发计划/task_z035b_12_cand002_regression.tsv	YES	b12_regression_evidence
04_测试与验收/测试证据/z035_cand002_bom_readonly_flow_regression/dom_anchor_regression_evidence.txt	YES	b12_evidence_dir
04_测试与验收/测试证据/z035_cand002_bom_readonly_flow_regression/manifest.json	YES	b12_evidence_dir
04_测试与验收/测试证据/z035_cand002_bom_readonly_flow_regression/route_regression_evidence.txt	YES	b12_evidence_dir
04_测试与验收/测试证据/z035_cand002_bom_readonly_flow_regression/screenshot_skip_reason.txt	YES	b12_evidence_dir
04_测试与验收/测试证据/z035_cand002_bom_readonly_flow_regression/typecheck_regression_evidence.txt	YES	b12_evidence_dir
03_需求与设计/02_开发计划/TASK-Z035B-13-LEDGER-CAND002_BOM只读业务流账本冻结报告.md	YES	b13_ledger_evidence
03_需求与设计/02_开发计划/task_z035b_13_cand002_freeze.json	YES	b13_ledger_evidence
03_需求与设计/02_开发计划/task_z035b_13_cand002_ledger.json	YES	b13_ledger_evidence
03_需求与设计/02_开发计划/task_z035b_13_cand002_ledger.tsv	YES	b13_ledger_evidence
06_前端/lingyi-pc/src/views/bom/BomList.vue	NO	explicitly_excluded_bom_file
06_前端/lingyi-pc/src/api/bom.ts	NO	explicitly_excluded_bom_file
03_需求与设计/02_开发计划/TASK-Z035B-01-PREP-PRODUCT-POOL_候选池报告.md	NO	candidate_pool
03_需求与设计/02_开发计划/task_z035b_01_product_candidate_pool.json	NO	candidate_pool
03_需求与设计/02_开发计划/task_z035b_01_product_candidate_pool.tsv	NO	candidate_pool
03_需求与设计/02_开发计划/TASK-Z035B-09-PREP_剩余候选刷新报告.md	NO	source_reference_not_commit_scope
03_需求与设计/02_开发计划/task_z035b_09_remaining_refresh.json	NO	source_reference_not_commit_scope
03_需求与设计/02_开发计划/task_z035b_09_remaining_refresh.tsv	NO	source_reference_not_commit_scope
06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue	NO	historical_dirty_forbidden
06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue	NO	historical_dirty_forbidden
06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue	NO	historical_dirty_forbidden
06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue	NO	historical_dirty_forbidden
06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue	NO	historical_dirty_forbidden
06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue	NO	historical_dirty_forbidden
07_后端/lingyi_service/app/schemas/report.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/app/services/report_catalog_service.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/app/services/system_config_catalog_service.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_bom_permissions.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_logging_sanitization.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_permission_governance_audit_export.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_request_id_sanitization.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_style_profit_api.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_subcontract_company_permission.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_workshop_permissions.py	NO	historical_dirty_forbidden
00_交接与日志/HANDOVER_STATUS.md	NO	log_control_dirty
03_需求与设计/01_架构设计/架构师会话日志.md	NO	log_control_dirty
03_需求与设计/02_开发计划/工程师会话日志.md	NO	log_control_dirty
03_需求与设计/02_开发计划/TASK-Z034B-37-COMMIT-CAND005_提交报告.md	NO	residual_artifact
03_需求与设计/02_开发计划/task_z034b_37_cand005_commit_result.json	NO	residual_artifact
03_需求与设计/02_开发计划/task_z034b_37_cand005_commit_result.tsv	NO	residual_artifact
