field	value
task_id	TASK-Z032B-40-FIX-CAND004-SECOND
role	B Engineer
source_task	TASK-Z032B-39-PREP-CAND004-SECOND-FAILURE-DIAG
candidate_id	Z032-CAND-004
current_head	aedc2d39cca4d065a028ce42e325de17490d95b6
allowed_fix_file	07_后端/lingyi_service/tests/test_workshop_job_card_sync.py
changed_files	["07_后端/lingyi_service/tests/test_workshop_job_card_sync.py"]
fix_summary	Aligned LINGYI_LOCAL_DEV_COMPANY=COMP-A with the service-account policy company so worker due-row scope filtering can process expected outbox rows.
workdir	07_后端/lingyi_service
exact_command	.venv/bin/python -m pytest tests/test_workshop_job_card_sync.py -q
command_run_count	1
exit_code	0
result	PASS
pytest_summary	4 passed, 54 warnings in 1.05s
stdout_path	03_需求与设计/02_开发计划/task_z032b_40_cand004_second_fix_stdout.txt
target_test_dirty_diff	true
worker_processing_contract_addressed	true
business_200_assertions_preserved	true
worker_processed_assertions_preserved	true
no_zero_processed_acceptance	true
assertions_weakened	false
skip_xfail_deleted_cases	false
backend_app_changed	false
frontend_changed	false
unrelated_tests_changed	false
continued_after_fail	false
rerun_performed	false
cached_empty	true
diff_check_pass	true
stage	false
commit	false
push	false
tag	false
PR	false
release	false
remote_lifecycle_parked	true
production_readback	false
go_live	false
project_completion	false
