section	field	value
meta	TASK_ID	TASK-YISUAN-REALOBJ-B012-REGRESSION-CAND002
meta	HEAD	1465c5256dd83641c6d4b6cd5c1bbfc755cb89f5
meta	branch	codex/sprint4-seal
meta	cached_count	0
meta	HEAD_tag_count	0
meta	code_modified_in_this_task	false
hash	BomList.before	654834bb63b1e982e793e92461e86de372fa9f33
hash	BomList.after	654834bb63b1e982e793e92461e86de372fa9f33
hash	BomDetail.before	7026e92bf489e6e1df21f6982bed260bcc19924d
hash	BomDetail.after	7026e92bf489e6e1df21f6982bed260bcc19924d
hash	local_dev.before	d149bbb335c6a123647d3d620022867f006217b7
hash	local_dev.after	d149bbb335c6a123647d3d620022867f006217b7
routes	/bom/list	http_200
routes	/bom/detail	http_200
screenshots	all_png_1440x1200	true
local_dev	endpoint_prefix	/api/local-dev/bom
local_dev	create_request_observed	true
local_dev	update_patch_request_observed	true
local_dev	rollback_request_observed	true
local_dev	all_local_dev_bom_write_statuses_success	true
loop	scenario_tag_present	true
loop	create_success	true
loop	update_success	true
loop	local_object_id_created	true
loop	local_object_id	8
loop	bom_main_readback_success	true
loop	style_binding_readback_success	true
loop	fabric_line_readback_success	true
loop	trim_line_readback_success	true
loop	cancel_or_rollback_success	true
loop	zero_residual	true
loop	residual_records	0
readback	readback_http_status	200
readback	fabric_line_count	1
readback	trim_line_count	1
network	write_requests_observed_count	3
network	local_dev_write_requests_count	3
network	write_requests_only_local_dev_bom_endpoints	true
network	production_write_requests	0
network	erpnext_production_write_requests	0
network	real_production_account_used	false
typecheck	command	npm run typecheck
typecheck	workdir	06_前端/lingyi-pc
typecheck	exit_code	0
server	dev_server_started	true
server	dev_server_stopped	true
server	local_dev_server_started	true
server	local_dev_server_stopped	true
boundary	data_classification	local_real_object_test_data_only
boundary	test_data_used	true
boundary	seed_data_used	false
boundary	not_future_production_data	true
boundary	sqlite_not_formal_database	true
boundary	sqlite_direct_reuse_for_production_forbidden	true
safety	production_write_requests	0
safety	erpnext_production_write_requests	0
safety	erpnext_production_connected	false
safety	production_readback	false
safety	go_live	false
safety	project_completion	false
safety	remote_lifecycle_parked	true
actions	stage_commit_amend	false
actions	push_pr_tag_release	false
actions	reset_restore_clean_delete	false
dirty	dirty_intersections	[]
dirty	unknown_dirty	[]
dirty	must_block_before_continue	[]
check	git_diff_check	PASS
result	residual_risk	low
result	NEXT_ROLE	C Auditor
