field	value
TASK_ID	TASK-YISUAN-REALOBJ-B036-REGRESSION-CAND005
ROLE	B Engineer
HEAD	db826b57fb11b00eb2400ea278bfcc45667230dc
branch	codex/sprint4-seal
cached_count	0
HEAD_tag_count	0
lane	regression-only/no code changes
code_modified_in_this_task	false
code_hash_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b036_cand005_regression/code_hash_evidence.json
scenario_tag	REALOBJ-CAND005-B036-REG-20260601-001
routes_http_200	/sales-inventory/stock-ledger|/warehouse
route_probe_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b036_cand005_regression/route_probe.json
screenshot_count	2
all_png_1440x1200	true
screenshot_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b036_cand005_regression/screenshot_evidence.json
required_write_requests_observed	POST /api/local-dev/stock-ledger/draft|PATCH /api/local-dev/stock-ledger/draft/:id|POST /api/local-dev/stock-ledger/draft/:id/rollback
write_requests_observed_count	3
write_requests_only_local_dev_inventory_warehouse_endpoints	true
all_local_dev_inventory_warehouse_write_statuses_success	true
production_write_requests	0
erpnext_production_write_requests	0
real_production_account_used	false
network_write_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b036_cand005_regression/network_write_evidence.json
local_dev_endpoint_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b036_cand005_regression/local_dev_endpoint_evidence.json
scenario_tag_present	true
create_success	true
update_success	true
stock_ledger_readback_success	true
warehouse_readback_success	true
cancel_or_rollback_success	true
zero_residual	true
residual_records	0
local_object_loop_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b036_cand005_regression/local_object_loop_evidence.json
stock_ledger_readback_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b036_cand005_regression/stock_ledger_readback_evidence.json
warehouse_readback_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b036_cand005_regression/warehouse_readback_evidence.json
rollback_zero_residual_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b036_cand005_regression/rollback_zero_residual_evidence.json
typecheck_command	npm run typecheck
typecheck_workdir	06_前端/lingyi-pc
typecheck_exit_code	0
typecheck_result_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b036_cand005_regression/typecheck_result.json
dev_server_started	true
dev_server_stopped	true
local_dev_server_started	true
local_dev_server_stopped	true
server_lifecycle_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b036_cand005_regression/server_lifecycle_evidence.json
git_diff_check	PASS
git_diff_cached_check	PASS
data_classification	local_real_object_test_data_only
test_data_used	true
seed_data_used	false
sqlite_is_formal_db	false
not_future_production_data	true
production_readback	false
go_live	false
project_completion	false
remote_lifecycle_parked	true
NEXT_ROLE	C Auditor
