path	decision	category	reason
03_需求与设计/02_开发计划/TASK-Z023B-37-PREP-CAND005_Z023候选005边界冻结报告.md	YES	B37_BOUNDARY	CAND005 boundary report
03_需求与设计/02_开发计划/task_z023b_37_cand005_boundary.json	YES	B37_BOUNDARY	CAND005 boundary JSON
03_需求与设计/02_开发计划/task_z023b_37_cand005_boundary.tsv	YES	B37_BOUNDARY	CAND005 boundary TSV
03_需求与设计/02_开发计划/TASK-Z023B-38-IMPL-CAND005_Z023候选005单文件验证报告.md	YES	B38_INITIAL_IMPL	CAND005 initial validation report
03_需求与设计/02_开发计划/task_z023b_38_cand005_result.json	YES	B38_INITIAL_IMPL	CAND005 initial validation JSON
03_需求与设计/02_开发计划/task_z023b_38_cand005_result.tsv	YES	B38_INITIAL_IMPL	CAND005 initial validation TSV
03_需求与设计/02_开发计划/task_z023b_38_cand005_stdout.txt	YES	B38_INITIAL_IMPL	CAND005 initial validation stdout
03_需求与设计/02_开发计划/TASK-Z023B-39-PREP-CAND005-FAILURE-DIAG_Z023候选005失败定位报告.md	YES	B39_FAILURE_DIAG	CAND005 failure diagnosis report
03_需求与设计/02_开发计划/task_z023b_39_cand005_failure_boundary.json	YES	B39_FAILURE_DIAG	CAND005 failure diagnosis JSON
03_需求与设计/02_开发计划/task_z023b_39_cand005_failure_boundary.tsv	YES	B39_FAILURE_DIAG	CAND005 failure diagnosis TSV
03_需求与设计/02_开发计划/TASK-Z023B-40-FIX-CAND005_Z023候选005workshop-wage权限测试合同修复报告.md	YES	B40_FINAL_FIX_PASS	CAND005 final fix report
03_需求与设计/02_开发计划/task_z023b_40_cand005_fix_result.json	YES	B40_FINAL_FIX_PASS	CAND005 final fix JSON
03_需求与设计/02_开发计划/task_z023b_40_cand005_fix_result.tsv	YES	B40_FINAL_FIX_PASS	CAND005 final fix TSV
03_需求与设计/02_开发计划/task_z023b_40_cand005_fix_stdout.txt	YES	B40_FINAL_FIX_PASS	CAND005 final fix stdout
03_需求与设计/02_开发计划/TASK-Z023B-41-LEDGER-CAND005_Z023候选005workshop-wage权限边界账本冻结报告.md	YES	B41_LEDGER	CAND005 ledger report
03_需求与设计/02_开发计划/task_z023b_41_cand005_freeze.json	YES	B41_LEDGER	CAND005 freeze JSON
