decision	path	category	reason
YES	03_需求与设计/02_开发计划/TASK-Z030B-02-PREP_CAND001只读验证边界报告.md	B02 boundary evidence	Z030-CAND-001 frozen validation boundary
YES	03_需求与设计/02_开发计划/task_z030b_02_cand001_boundary.json	B02 boundary evidence	Z030-CAND-001 frozen validation boundary
YES	03_需求与设计/02_开发计划/task_z030b_02_cand001_boundary.tsv	B02 boundary evidence	Z030-CAND-001 frozen validation boundary
YES	03_需求与设计/02_开发计划/TASK-Z030B-03-IMPL_CAND001单文件验证报告.md	B03 readonly validation evidence	Z030-CAND-001 first single-file pytest result
YES	03_需求与设计/02_开发计划/task_z030b_03_cand001_result.json	B03 readonly validation evidence	Z030-CAND-001 first single-file pytest result
YES	03_需求与设计/02_开发计划/task_z030b_03_cand001_result.tsv	B03 readonly validation evidence	Z030-CAND-001 first single-file pytest result
YES	03_需求与设计/02_开发计划/task_z030b_03_cand001_stdout.txt	B03 readonly validation evidence	Z030-CAND-001 first single-file pytest stdout
YES	03_需求与设计/02_开发计划/TASK-Z030B-04-PREP-CAND001-FAILURE-DIAG_失败只读定位报告.md	B04 failure diagnosis evidence	Z030-CAND-001 backend payload drift boundary
YES	03_需求与设计/02_开发计划/task_z030b_04_cand001_failure_boundary.json	B04 failure diagnosis evidence	Z030-CAND-001 backend payload drift boundary
YES	03_需求与设计/02_开发计划/task_z030b_04_cand001_failure_boundary.tsv	B04 failure diagnosis evidence	Z030-CAND-001 backend payload drift boundary
YES	03_需求与设计/02_开发计划/TASK-Z030B-05-FIX-CAND001-BACKEND_quality_auto_trigger后端payload修复报告.md	B05 backend fix evidence	Z030-CAND-001 authorized backend payload fix result
YES	03_需求与设计/02_开发计划/task_z030b_05_cand001_backend_fix_result.json	B05 backend fix evidence	Z030-CAND-001 authorized backend payload fix result
YES	03_需求与设计/02_开发计划/task_z030b_05_cand001_backend_fix_result.tsv	B05 backend fix evidence	Z030-CAND-001 authorized backend payload fix result
YES	03_需求与设计/02_开发计划/task_z030b_05_cand001_backend_fix_stdout.txt	B05 backend fix evidence	Z030-CAND-001 authorized backend payload fix stdout
YES	03_需求与设计/02_开发计划/TASK-Z030B-06-LEDGER-CAND001_quality_auto_trigger后端修复账本报告.md	B06 ledger evidence	Z030-CAND-001 ledger freeze report
