path	decision	category
06_前端/lingyi-pc/src/views/HomePage.vue	YES	frontend_visible_change
03_需求与设计/02_开发计划/TASK-Z035B-02-PREP_CAND001边界报告.md	YES	b02_evidence
03_需求与设计/02_开发计划/task_z035b_02_cand001_boundary.json	YES	b02_evidence
03_需求与设计/02_开发计划/task_z035b_02_cand001_boundary.tsv	YES	b02_evidence
03_需求与设计/02_开发计划/TASK-Z035B-03-IMPL_CAND001实现报告.md	YES	b03_evidence
03_需求与设计/02_开发计划/task_z035b_03_cand001_impl_result.json	YES	b03_evidence
03_需求与设计/02_开发计划/task_z035b_03_cand001_impl_result.tsv	YES	b03_evidence
04_测试与验收/测试证据/z035_cand001_home_workbench/route_evidence.json	YES	b03_route_evidence
04_测试与验收/测试证据/z035_cand001_home_workbench/dom_anchor_evidence.json	YES	b03_dom_evidence
04_测试与验收/测试证据/z035_cand001_home_workbench/screenshot_status.json	YES	b03_screenshot_status
04_测试与验收/测试证据/z035_cand001_home_workbench/verification_manifest.json	YES	b03_manifest
03_需求与设计/02_开发计划/TASK-Z035B-04-REGRESSION-CAND001_回归验证报告.md	YES	b04_evidence
03_需求与设计/02_开发计划/task_z035b_04_cand001_regression_result.json	YES	b04_evidence
03_需求与设计/02_开发计划/task_z035b_04_cand001_regression_result.tsv	YES	b04_evidence
04_测试与验收/测试证据/z035_cand001_home_workbench_regression/route_regression_evidence.json	YES	b04_route_evidence
04_测试与验收/测试证据/z035_cand001_home_workbench_regression/dom_anchor_regression_evidence.json	YES	b04_dom_evidence
04_测试与验收/测试证据/z035_cand001_home_workbench_regression/screenshot_regression_status.json	YES	b04_screenshot_status
04_测试与验收/测试证据/z035_cand001_home_workbench_regression/regression_manifest.json	YES	b04_manifest
03_需求与设计/02_开发计划/TASK-Z035B-05-LEDGER-CAND001_账本冻结报告.md	YES	b05_evidence
03_需求与设计/02_开发计划/task_z035b_05_cand001_ledger_freeze.json	YES	b05_evidence
03_需求与设计/02_开发计划/task_z035b_05_cand001_ledger.json	YES	b05_evidence
03_需求与设计/02_开发计划/task_z035b_05_cand001_ledger.tsv	YES	b05_evidence
06_前端/lingyi-pc/src/views/dashboard/DashboardOverview.vue	NO	allowed_scope_not_changed
06_前端/lingyi-pc/src/api/dashboard.ts	NO	allowed_scope_not_changed
03_需求与设计/02_开发计划/TASK-Z035B-01-PREP-PRODUCT-POOL_候选池报告.md	NO	candidate_pool
03_需求与设计/02_开发计划/task_z035b_01_product_candidate_pool.json	NO	candidate_pool
03_需求与设计/02_开发计划/task_z035b_01_product_candidate_pool.tsv	NO	candidate_pool
06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue	NO	historical_dirty_forbidden
06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue	NO	historical_dirty_forbidden
06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue	NO	historical_dirty_forbidden
06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue	NO	historical_dirty_forbidden
06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue	NO	historical_dirty_forbidden
06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue	NO	historical_dirty_forbidden
07_后端/lingyi_service/app/schemas/report.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/app/services/report_catalog_service.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/app/services/system_config_catalog_service.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_bom_permissions.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_logging_sanitization.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_permission_governance_audit_export.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_request_id_sanitization.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_style_profit_api.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_subcontract_company_permission.py	NO	historical_dirty_forbidden
07_后端/lingyi_service/tests/test_workshop_permissions.py	NO	historical_dirty_forbidden
00_交接与日志/HANDOVER_STATUS.md	NO	log_control_dirty
03_需求与设计/01_架构设计/架构师会话日志.md	NO	log_control_dirty
03_需求与设计/02_开发计划/工程师会话日志.md	NO	log_control_dirty
03_需求与设计/02_开发计划/TASK-Z034B-37-COMMIT-CAND005_提交报告.md	NO	residual_artifact
03_需求与设计/02_开发计划/task_z034b_37_cand005_commit_result.json	NO	residual_artifact
03_需求与设计/02_开发计划/task_z034b_37_cand005_commit_result.tsv	NO	residual_artifact
