decision	path	category	reason
YES	03_需求与设计/02_开发计划/TASK-Z029B-35-PREP_CAND005只读验证边界报告.md	B35 boundary evidence	Z029-CAND-005 frozen validation boundary
YES	03_需求与设计/02_开发计划/task_z029b_35_cand005_boundary.json	B35 boundary evidence	Z029-CAND-005 frozen validation boundary
YES	03_需求与设计/02_开发计划/task_z029b_35_cand005_boundary.tsv	B35 boundary evidence	Z029-CAND-005 frozen validation boundary
YES	03_需求与设计/02_开发计划/TASK-Z029B-36-IMPL_CAND005单文件验证报告.md	B36 validation evidence	Z029-CAND-005 readonly pytest failure evidence
YES	03_需求与设计/02_开发计划/task_z029b_36_cand005_result.json	B36 validation evidence	Z029-CAND-005 readonly pytest failure evidence
YES	03_需求与设计/02_开发计划/task_z029b_36_cand005_result.tsv	B36 validation evidence	Z029-CAND-005 readonly pytest failure evidence
YES	03_需求与设计/02_开发计划/task_z029b_36_cand005_stdout.txt	B36 validation evidence	Z029-CAND-005 readonly pytest failure stdout
YES	03_需求与设计/02_开发计划/TASK-Z029B-37-PREP-CAND005-FAILURE-DIAG_失败只读定位报告.md	B37 failure boundary evidence	TEST_CONTRACT_UPDATE_ALLOWED classification
YES	03_需求与设计/02_开发计划/task_z029b_37_cand005_failure_boundary.json	B37 failure boundary evidence	TEST_CONTRACT_UPDATE_ALLOWED classification
YES	03_需求与设计/02_开发计划/task_z029b_37_cand005_failure_boundary.tsv	B37 failure boundary evidence	TEST_CONTRACT_UPDATE_ALLOWED classification
YES	03_需求与设计/02_开发计划/TASK-Z029B-38-FIX-CAND005_workshop_ticket测试合同修复报告.md	B38 fix evidence	first test contract fix attempt evidence
YES	03_需求与设计/02_开发计划/task_z029b_38_cand005_fix_result.json	B38 fix evidence	first test contract fix attempt result
YES	03_需求与设计/02_开发计划/task_z029b_38_cand005_fix_result.tsv	B38 fix evidence	first test contract fix attempt result
YES	03_需求与设计/02_开发计划/task_z029b_38_cand005_fix_stdout.txt	B38 fix evidence	first test contract fix attempt stdout
YES	03_需求与设计/02_开发计划/TASK-Z029B-39-PREP-CAND005-SECOND-FAILURE-DIAG_二次失败只读定位报告.md	B39 second failure boundary evidence	second TEST_CONTRACT_UPDATE_ALLOWED classification
YES	03_需求与设计/02_开发计划/task_z029b_39_cand005_second_failure_boundary.json	B39 second failure boundary evidence	second TEST_CONTRACT_UPDATE_ALLOWED classification
YES	03_需求与设计/02_开发计划/task_z029b_39_cand005_second_failure_boundary.tsv	B39 second failure boundary evidence	second TEST_CONTRACT_UPDATE_ALLOWED classification
YES	03_需求与设计/02_开发计划/TASK-Z029B-40-FIX-CAND005-SECOND_workshop_ticket二次修复报告.md	B40 second fix evidence	passing single-file validation evidence
YES	03_需求与设计/02_开发计划/task_z029b_40_cand005_second_fix_result.json	B40 second fix evidence	passing single-file validation result
YES	03_需求与设计/02_开发计划/task_z029b_40_cand005_second_fix_result.tsv	B40 second fix evidence	passing single-file validation result
YES	03_需求与设计/02_开发计划/task_z029b_40_cand005_second_fix_stdout.txt	B40 second fix evidence	passing single-file validation stdout
YES	03_需求与设计/02_开发计划/TASK-Z029B-41-LEDGER-CAND005_workshop_ticket提交候选账本报告.md	B41 ledger evidence	current ledger freeze report
