field	value
task_id	TASK-Z031B-19-FIX-CAND003-FIX1
role	B Engineer
source_task	TASK-Z031B-19-FIX-CAND003
audit_fix_reason	business_error_semantics_not_preserved
candidate_id	Z031-CAND-003
current_head	23c9a5068daa6cca8a7071f4e4ce2def52bb6a7f
allowed_fix_file	07_后端/lingyi_service/tests/test_style_profit_api_errors.py
changed_files	07_后端/lingyi_service/tests/test_style_profit_api_errors.py; 03_需求与设计/02_开发计划/TASK-Z031B-19-FIX-CAND003-FIX1_语义修正验证报告.md; 03_需求与设计/02_开发计划/task_z031b_19_cand003_fix1_result.json; 03_需求与设计/02_开发计划/task_z031b_19_cand003_fix1_result.tsv; 03_需求与设计/02_开发计划/task_z031b_19_cand003_fix1_stdout.txt
workdir	07_后端/lingyi_service
exact_command	.venv/bin/python -m pytest tests/test_style_profit_api_errors.py -q
command_run_count	1
exit_code	1
result	FAIL
pytest_summary	2 failed, 3 passed, 1 warning in 1.05s
stdout_path	03_需求与设计/02_开发计划/task_z031b_19_cand003_fix1_stdout.txt
semantic_correction_for_b19	true
invalid_idempotency_key_expected_status	400
blank_sales_order_expected_status	400
no_style_profit_idempotency_conflict_for_business_error_cases	true
business_error_semantics_restored	false
invalid_idempotency_key_observed_status	500
blank_sales_order_observed_status	500
assertions_weakened	false
skip_xfail_deleted_cases	false
backend_app_changed	false
frontend_changed	false
unrelated_tests_changed	false
continued_after_fail	false
rerun_performed	false
stage	false
commit	false
push	false
tag	false
pr	false
release	false
remote_lifecycle_parked	true
production_readback	false
go_live	false
project_completion	false
