field	value
task_id	TASK-Z023B-32-FIX-CAND004-THIRD
selected_candidate_id	Z023-CAND-004
source_task_id	TASK-Z023B-31-PREP-CAND004-THIRD-FAILURE-DIAG
fixed_file	07_后端/lingyi_service/tests/test_subcontract_permissions.py
outbox_status_assertion_fixed	YES
core_semantics_preserved	YES
assertions_weakened	NO
skip_xfail_deleted_cases	NO
command	.venv/bin/python -m pytest tests/test_subcontract_permissions.py -q
command_run_count	1
exit_code	0
result	PASS
pytest_summary	18 passed, 8 warnings in 1.07s
stdout_log	03_需求与设计/02_开发计划/task_z023b_32_cand004_third_fix_stdout.txt
git_diff_cached_name_only	EMPTY
git_diff_check	PASS
stage_performed	NO
commit_performed	NO
push_performed	NO
production_or_real_business_write	NO
parked_blockers_released	NO
