decision	path	reason
YES	03_需求与设计/02_开发计划/TASK-Z030B-22-PREP_CAND003只读验证边界报告.md	Z030-CAND-003 B22 boundary evidence
YES	03_需求与设计/02_开发计划/task_z030b_22_cand003_boundary.json	Z030-CAND-003 B22 boundary evidence
YES	03_需求与设计/02_开发计划/task_z030b_22_cand003_boundary.tsv	Z030-CAND-003 B22 boundary evidence
YES	03_需求与设计/02_开发计划/TASK-Z030B-23-IMPL_CAND003单文件验证报告.md	Z030-CAND-003 B23 implementation evidence
YES	03_需求与设计/02_开发计划/task_z030b_23_cand003_result.json	Z030-CAND-003 B23 implementation evidence
YES	03_需求与设计/02_开发计划/task_z030b_23_cand003_result.tsv	Z030-CAND-003 B23 implementation evidence
YES	03_需求与设计/02_开发计划/task_z030b_23_cand003_stdout.txt	Z030-CAND-003 B23 implementation stdout evidence
YES	03_需求与设计/02_开发计划/TASK-Z030B-24-PREP-CAND003-FAILURE-DIAG_失败只读定位报告.md	Z030-CAND-003 B24 failure boundary evidence
YES	03_需求与设计/02_开发计划/task_z030b_24_cand003_failure_boundary.json	Z030-CAND-003 B24 failure boundary evidence
YES	03_需求与设计/02_开发计划/task_z030b_24_cand003_failure_boundary.tsv	Z030-CAND-003 B24 failure boundary evidence
YES	03_需求与设计/02_开发计划/TASK-Z030B-25-FIX-CAND003_subcontract_issue_outbox测试合同修复报告.md	Z030-CAND-003 B25 fix evidence
YES	03_需求与设计/02_开发计划/task_z030b_25_cand003_fix_result.json	Z030-CAND-003 B25 fix evidence
YES	03_需求与设计/02_开发计划/task_z030b_25_cand003_fix_result.tsv	Z030-CAND-003 B25 fix evidence
YES	03_需求与设计/02_开发计划/task_z030b_25_cand003_fix_stdout.txt	Z030-CAND-003 B25 fix stdout evidence
YES	03_需求与设计/02_开发计划/TASK-Z030B-26-LEDGER-CAND003_subcontract_issue_outbox提交候选账本报告.md	Z030-CAND-003 B26 ledger evidence
YES	03_需求与设计/02_开发计划/task_z030b_26_cand003_freeze.json	Z030-CAND-003 B26 freeze evidence
YES	03_需求与设计/02_开发计划/task_z030b_26_cand003_ledger.json	Z030-CAND-003 B26 ledger evidence
YES	03_需求与设计/02_开发计划/task_z030b_26_cand003_ledger.tsv	Z030-CAND-003 B26 ledger evidence
YES	07_后端/lingyi_service/tests/test_subcontract_issue_outbox.py	Z030-CAND-003 allowed target test
NO	00_交接与日志/HANDOVER_STATUS.md	historical dirty forbidden path
NO	03_需求与设计/01_架构设计/架构师会话日志.md	historical dirty forbidden path
NO	03_需求与设计/02_开发计划/工程师会话日志.md	historical dirty forbidden path
NO	06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue	historical dirty forbidden path
NO	06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue	historical dirty forbidden path
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue	historical dirty forbidden path
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue	historical dirty forbidden path
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue	historical dirty forbidden path
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue	historical dirty forbidden path
NO	07_后端/lingyi_service/app/schemas/report.py	historical dirty forbidden backend app path
NO	07_后端/lingyi_service/app/services/report_catalog_service.py	historical dirty forbidden backend app path
NO	07_后端/lingyi_service/app/services/system_config_catalog_service.py	historical dirty forbidden backend app path
NO	07_后端/lingyi_service/tests/test_bom_permissions.py	historical dirty forbidden unrelated test path
NO	07_后端/lingyi_service/tests/test_logging_sanitization.py	historical dirty forbidden unrelated test path
NO	07_后端/lingyi_service/tests/test_permission_governance_audit_export.py	historical dirty forbidden unrelated test path
NO	07_后端/lingyi_service/tests/test_request_id_sanitization.py	historical dirty forbidden unrelated test path
NO	07_后端/lingyi_service/tests/test_style_profit_api.py	historical dirty forbidden unrelated test path
NO	07_后端/lingyi_service/tests/test_subcontract_company_permission.py	historical dirty forbidden unrelated test path
NO	07_后端/lingyi_service/tests/test_workshop_permissions.py	historical dirty forbidden unrelated test path
NO	03_需求与设计/02_开发计划/TASK-Z030B-01-PREP_Z030本地候选池重建报告.md	Z030 candidate pool excluded
NO	03_需求与设计/02_开发计划/task_z030b_01_candidate_pool.json	Z030 candidate pool excluded
NO	03_需求与设计/02_开发计划/task_z030b_01_candidate_pool.tsv	Z030 candidate pool excluded
NO	03_需求与设计/02_开发计划/*Z030*CAND001*	Z030-CAND-001 archived range excluded
NO	03_需求与设计/02_开发计划/*Z030*CAND002*	Z030-CAND-002 archived range excluded
NO	03_需求与设计/02_开发计划/*Z030*CAND004*	Z030-CAND-004 range excluded
NO	03_需求与设计/02_开发计划/*Z030*CAND005*	Z030-CAND-005 range excluded
NO	06_前端/**	frontend excluded
NO	07_后端/lingyi_service/app/**	backend app excluded
NO	00_交接与日志/**	shared handover logs excluded
NO	03_需求与设计/02_开发计划/*Z0[1-2][0-9]*	old cycle Z015-Z029 artifacts excluded
NO	03_需求与设计/02_开发计划/*Z029*	old cycle Z029 artifacts excluded
NO	04_测试与验收/**	runtime or unrelated evidence excluded
NO	07_后端/lingyi_service.local.db	runtime/cache excluded
NO	06_前端/lingyi-pc/test-results/**	runtime/cache excluded
