decision	path
YES	03_需求与设计/02_开发计划/TASK-Z031B-02-PREP_CAND001只读验证边界报告.md
YES	03_需求与设计/02_开发计划/task_z031b_02_cand001_boundary.json
YES	03_需求与设计/02_开发计划/task_z031b_02_cand001_boundary.tsv
YES	03_需求与设计/02_开发计划/TASK-Z031B-03-IMPL_CAND001单文件验证报告.md
YES	03_需求与设计/02_开发计划/task_z031b_03_cand001_result.json
YES	03_需求与设计/02_开发计划/task_z031b_03_cand001_result.tsv
YES	03_需求与设计/02_开发计划/task_z031b_03_cand001_stdout.txt
YES	03_需求与设计/02_开发计划/TASK-Z031B-04-LEDGER-CAND001_提交候选账本冻结报告.md
YES	03_需求与设计/02_开发计划/task_z031b_04_cand001_freeze.json
YES	03_需求与设计/02_开发计划/task_z031b_04_cand001_ledger.json
YES	03_需求与设计/02_开发计划/task_z031b_04_cand001_ledger.tsv
NO	07_后端/lingyi_service/tests/test_quality_export_enhanced.py
NO	00_交接与日志/HANDOVER_STATUS.md
NO	03_需求与设计/01_架构设计/架构师会话日志.md
NO	03_需求与设计/02_开发计划/工程师会话日志.md
NO	06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue
NO	06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue
NO	07_后端/lingyi_service/app/schemas/report.py
NO	07_后端/lingyi_service/app/services/report_catalog_service.py
NO	07_后端/lingyi_service/app/services/system_config_catalog_service.py
NO	07_后端/lingyi_service/tests/test_bom_permissions.py
NO	07_后端/lingyi_service/tests/test_logging_sanitization.py
NO	07_后端/lingyi_service/tests/test_permission_governance_audit_export.py
NO	07_后端/lingyi_service/tests/test_request_id_sanitization.py
NO	07_后端/lingyi_service/tests/test_style_profit_api.py
NO	07_后端/lingyi_service/tests/test_subcontract_company_permission.py
NO	07_后端/lingyi_service/tests/test_workshop_permissions.py
NO	06_前端/**
NO	07_后端/lingyi_service/app/**
NO	03_需求与设计/02_开发计划/TASK-Z031B-01-PREP_Z031本地候选池重建报告.md
NO	03_需求与设计/02_开发计划/task_z031b_01_candidate_pool.json
NO	03_需求与设计/02_开发计划/task_z031b_01_candidate_pool.tsv
NO	03_需求与设计/02_开发计划/*Z031B-*CAND002*
NO	03_需求与设计/02_开发计划/*Z031B-*CAND003*
NO	03_需求与设计/02_开发计划/*Z031B-*CAND004*
NO	03_需求与设计/02_开发计划/*Z031B-*CAND005*
NO	03_需求与设计/02_开发计划/*Z015*
NO	03_需求与设计/02_开发计划/*Z016*
NO	03_需求与设计/02_开发计划/*Z017*
NO	03_需求与设计/02_开发计划/*Z018*
NO	03_需求与设计/02_开发计划/*Z019*
NO	03_需求与设计/02_开发计划/*Z020*
NO	03_需求与设计/02_开发计划/*Z021*
NO	03_需求与设计/02_开发计划/*Z022*
NO	03_需求与设计/02_开发计划/*Z023*
NO	03_需求与设计/02_开发计划/*Z024*
NO	03_需求与设计/02_开发计划/*Z025*
NO	03_需求与设计/02_开发计划/*Z026*
NO	03_需求与设计/02_开发计划/*Z027*
NO	03_需求与设计/02_开发计划/*Z028*
NO	03_需求与设计/02_开发计划/*Z029*
NO	03_需求与设计/02_开发计划/*Z030*
NO	07_后端/lingyi_service/.pytest_cache/**
NO	07_后端/lingyi_service/**/__pycache__/**
NO	07_后端/lingyi_service/.venv/**
