field	value
cycle_id	Z036
candidate_id	Z036-CAND-003
source_task	TASK-Z036B-19-IMPL
task_id	TASK-Z036B-20-REGRESSION-CAND003
head	268de6b57e70a225bdee128249a57d44b9719aa6
code_modified_in_this_task	false
changed_files_observed	06_前端/lingyi-pc/src/views/style_profit/StyleProfitSnapshotDetail.vue;06_前端/lingyi-pc/src/views/style_profit/StyleProfitSnapshotList.vue
typecheck_command	npm run typecheck
typecheck_workdir	06_前端/lingyi-pc
typecheck_exit_code	0
routes_checked	/reports/style-profit;/reports/style-profit/detail?id=101&parity=style-profit
anchors_checked	style-profit-page;style-profit-query-form;style-profit-summary-grid;style-profit-table;style-profit-archive-button;style-profit-detail-page;style-profit-source-map-table;style-profit-readonly-hint
screenshot_reused_or_recaptured	recaptured
screenshots	04_测试与验收/测试证据/z036_cand003_style_profit_snapshot_readonly_flow_regression/style_profit_list_regression_fullpage.png;04_测试与验收/测试证据/z036_cand003_style_profit_snapshot_readonly_flow_regression/style_profit_detail_regression_fullpage.png
write_requests_observed_count	0
auth_401_observed	true
auth_401_count	2
runtime_readonly_fallback_risk	true
visible_acceptance_goal_still_met	true
read_only_boundary_preserved	true
real_write_action_added	false
backend_changed	false
tests_changed	false
candidate_pool_changed	false
historical_dirty_touched	false
log_control_dirty_touched	false
residual_artifacts_touched	false
z035_committed_product_files_touched	false
cand001_runtime_readonly_fallback_risk	true
cand001_console_401_errors_observed	4
cand001_network_401_errors_observed	4
cand001_write_chain_success	false
cand001_permission_misread_as_success	false
shell_wrapper_anomaly_preserved	true
z033_cand003_skipped_only_evidence	true
screenshot_missing_risk_for_Z035	true
dev_server_stopped	true
stage_performed	false
commit_performed	false
remote_lifecycle_parked	true
next_task	TASK-Z036B-21-LEDGER-CAND003
run_this_task	false
