field	value
task_id	TASK-Z044B-12-REGRESSION-CAND002
role	B Engineer
candidate_id	Z044-CAND-002
code_modified_in_this_task	false
changed_files_observed	06_前端/lingyi-pc/src/router/index.ts; 06_前端/lingyi-pc/src/api/report.ts
routes_checked	/financial/financialReport/customerReconciliationReport; /financial/financialProcess; /finance/bank-flow; /reportManage/collaborationReport/factoryProductStockReport; /reports/catalog
route_http_statuses	all=200
final_paths	all=/reports/catalog
screenshot	04_测试与验收/测试证据/z044_cand002_report_export_lock_readback_regression/reports_catalog_regression_screenshot.png
screenshot_png_dimensions	1440x1200
anchors_observed_count	8
anchors_all_observed	true
guarded_entries_covered	报表导出; 财务下载; 协同下载; 明细导出
dataReadonlyBoundary	true
dataWriteRequestSuccessAllowed	false
dataRealWriteActionAdded	false
auth_401_count	25
runtime_readonly_fallback_risk	true
write_requests_observed_count	0
write_request_success_observed	false
write_request_success_allowed	false
typecheck_command	npm run typecheck
typecheck_workdir	06_前端/lingyi-pc
typecheck_exit_code	0
allowed_files_only	true
ReportCatalog_vue_touched	false
backend_api_added	false
real_write_action_added	false
read_only_boundary_preserved	true
dirty_intersections	[]
dev_server_started	true
dev_server_stopped	true
stage_performed	false
commit_performed	false
remote_lifecycle_released	false
risk_fields_preserved	true
next_task	TASK-Z044B-13-LEDGER-CAND002
