decision	path	category	reason
YES	03_需求与设计/02_开发计划/TASK-Z024B-09-PREP_Z024候选002边界冻结报告.md	cand002_boundary_evidence	CAND002 B09 boundary report
YES	03_需求与设计/02_开发计划/task_z024b_09_cand002_boundary.json	cand002_boundary_evidence	CAND002 B09 boundary JSON
YES	03_需求与设计/02_开发计划/task_z024b_09_cand002_boundary.tsv	cand002_boundary_evidence	CAND002 B09 boundary TSV
YES	03_需求与设计/02_开发计划/TASK-Z024B-10-IMPL_Z024候选002单文件验证报告.md	cand002_initial_impl_evidence	CAND002 B10 initial FAIL report
YES	03_需求与设计/02_开发计划/task_z024b_10_cand002_result.json	cand002_initial_impl_evidence	CAND002 B10 initial FAIL result JSON
YES	03_需求与设计/02_开发计划/task_z024b_10_cand002_result.tsv	cand002_initial_impl_evidence	CAND002 B10 initial FAIL result TSV
YES	03_需求与设计/02_开发计划/task_z024b_10_cand002_stdout.txt	cand002_initial_impl_evidence	CAND002 B10 initial FAIL stdout
YES	03_需求与设计/02_开发计划/TASK-Z024B-11-PREP-CAND002-FAILURE-DIAG_Z024候选002失败定位报告.md	cand002_failure_diag_evidence	CAND002 B11 failure diagnosis report
YES	03_需求与设计/02_开发计划/task_z024b_11_cand002_failure_boundary.json	cand002_failure_diag_evidence	CAND002 B11 failure boundary JSON
YES	03_需求与设计/02_开发计划/task_z024b_11_cand002_failure_boundary.tsv	cand002_failure_diag_evidence	CAND002 B11 failure boundary TSV
YES	03_需求与设计/02_开发计划/TASK-Z024B-12-FIX-CAND002_Z024候选002quality-models测试合同修复报告.md	cand002_final_fix_evidence	CAND002 B12 final PASS report
YES	03_需求与设计/02_开发计划/task_z024b_12_cand002_fix_result.json	cand002_final_fix_evidence	CAND002 B12 final PASS result JSON
YES	03_需求与设计/02_开发计划/task_z024b_12_cand002_fix_result.tsv	cand002_final_fix_evidence	CAND002 B12 final PASS result TSV
YES	03_需求与设计/02_开发计划/task_z024b_12_cand002_fix_stdout.txt	cand002_final_fix_evidence	CAND002 B12 final PASS stdout
YES	03_需求与设计/02_开发计划/TASK-Z024B-13-LEDGER-CAND002_Z024候选002账本冻结报告.md	cand002_ledger_evidence	CAND002 B13 ledger report
YES	03_需求与设计/02_开发计划/task_z024b_13_cand002_freeze.json	cand002_ledger_evidence	CAND002 B13 freeze JSON
YES	03_需求与设计/02_开发计划/task_z024b_13_cand002_ledger.json	cand002_ledger_evidence	CAND002 B13 ledger JSON
YES	03_需求与设计/02_开发计划/task_z024b_13_cand002_ledger.tsv	cand002_ledger_evidence	CAND002 B13 ledger TSV
YES	07_后端/lingyi_service/tests/test_quality_models.py	cand002_fixed_test_file	Only allowed backend test file for CAND002 fix
NO	06_前端	frontend	Frontend is forbidden for this ledger
NO	07_后端/lingyi_service/app	backend_app	Backend app source is forbidden
NO	07_后端/lingyi_service/tests/test_factory_statement_models.py	other_tests	CAND001 test file is outside CAND002 scope
NO	07_后端/lingyi_service/tests/test_style_profit_models.py	future_candidate_tests	CAND003 future candidate test file
NO	07_后端/lingyi_service/tests/test_sales_inventory_permission.py	future_candidate_tests	CAND004 future candidate test file
NO	07_后端/lingyi_service/tests/test_workshop_worker_permissions.py	future_candidate_tests	CAND005 future candidate test file
NO	03_需求与设计/02_开发计划/工程师会话日志.md	shared_engineer_log	Shared engineer log is forbidden
NO	03_需求与设计/02_开发计划/task_z024b_01_candidate_pool.json	candidate_pool	Z024 candidate pool is excluded
NO	03_需求与设计/02_开发计划/task_z024b_01_candidate_pool.tsv	candidate_pool	Z024 candidate pool is excluded
NO	03_需求与设计/02_开发计划/TASK-Z024B-01-PREP_Z024本地候选池重建报告.md	candidate_pool	Z024 candidate pool report is excluded
NO	03_需求与设计/02_开发计划/task_z024b_08_remaining_candidate_refresh.json	candidate_refresh	B08 refresh is excluded
NO	03_需求与设计/02_开发计划/task_z024b_08_remaining_candidate_refresh.tsv	candidate_refresh	B08 refresh is excluded
NO	03_需求与设计/02_开发计划/TASK-Z024B-08-PREP_Z024剩余候选刷新报告.md	candidate_refresh	B08 refresh report is excluded
NO	03_需求与设计/02_开发计划/TASK-Z024B-02-PREP_Z024候选001边界冻结报告.md	cand001_artifacts	CAND001 artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z024B-03-IMPL_Z024候选001单文件验证报告.md	cand001_artifacts	CAND001 artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z024B-04-LEDGER-CAND001_Z024候选001账本冻结报告.md	cand001_artifacts	CAND001 artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z024B-07-ARCHIVE-CAND001_Z024候选001归档确认报告.md	cand001_artifacts	CAND001 archive artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z023*	z015_z023_artifacts	Prior Z023 artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z022*	z015_z023_artifacts	Prior Z022 artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z021*	z015_z023_artifacts	Prior Z021 artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z020*	z015_z023_artifacts	Prior Z020 artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z019*	z015_z023_artifacts	Prior Z019 artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z018*	z015_z023_artifacts	Prior Z018 artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z017*	z015_z023_artifacts	Prior Z017 artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z016*	z015_z023_artifacts	Prior Z016 artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z015*	z015_z023_artifacts	Prior Z015 artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z024B-14*	future_candidate_or_stage_scope	Future stage task artifacts are not part of this ledger
NO	03_需求与设计/02_开发计划/TASK-Z024B-15*	future_candidate_or_commit_scope	Future commit/archive/final artifacts are not part of this ledger
NO	.pytest_cache	cache	Cache artifacts are excluded
NO	07_后端/lingyi_service/.venv	dependency_runtime	Virtual environment is excluded
NO	dist	build_output	Build output is excluded
NO	node_modules	dependency_runtime	Dependency directory is excluded
NO	03_需求与设计/01_架构设计/架构师会话日志.md	architect_log	A architect logs are excluded
NO	03_需求与设计/05_审计记录	audit_records	C audit records are excluded
NO	.github	github_config	GitHub configuration is excluded
