path	decision	category	reason
03_需求与设计/02_开发计划/TASK-Z034B-20-PREP_CAND003边界报告.md	YES	evidence	Z034-CAND-003 B20/B21/B22 evidence-only ledger YES
03_需求与设计/02_开发计划/task_z034b_20_cand003_boundary.json	YES	evidence	Z034-CAND-003 B20/B21/B22 evidence-only ledger YES
03_需求与设计/02_开发计划/task_z034b_20_cand003_boundary.tsv	YES	evidence	Z034-CAND-003 B20/B21/B22 evidence-only ledger YES
03_需求与设计/02_开发计划/TASK-Z034B-21-IMPL_CAND003验证报告.md	YES	evidence	Z034-CAND-003 B20/B21/B22 evidence-only ledger YES
03_需求与设计/02_开发计划/task_z034b_21_cand003_result.json	YES	evidence	Z034-CAND-003 B20/B21/B22 evidence-only ledger YES
03_需求与设计/02_开发计划/task_z034b_21_cand003_result.tsv	YES	evidence	Z034-CAND-003 B20/B21/B22 evidence-only ledger YES
03_需求与设计/02_开发计划/task_z034b_21_cand003_stdout.txt	YES	evidence	Z034-CAND-003 B20/B21/B22 evidence-only ledger YES
03_需求与设计/02_开发计划/TASK-Z034B-22-LEDGER-CAND003_账本冻结报告.md	YES	evidence	Z034-CAND-003 B20/B21/B22 evidence-only ledger YES
03_需求与设计/02_开发计划/task_z034b_22_cand003_ledger_freeze.json	YES	evidence	Z034-CAND-003 B20/B21/B22 evidence-only ledger YES
03_需求与设计/02_开发计划/task_z034b_22_cand003_ledger.json	YES	evidence	Z034-CAND-003 B20/B21/B22 evidence-only ledger YES
03_需求与设计/02_开发计划/task_z034b_22_cand003_ledger.tsv	YES	evidence	Z034-CAND-003 B20/B21/B22 evidence-only ledger YES
07_后端/lingyi_service/tests/test_style_profit_service.py	NO	target_test	excluded from evidence-only ledger YES
03_需求与设计/02_开发计划/TASK-Z034B-01-PREP_候选池重建报告.md	NO	candidate_pool	excluded from evidence-only ledger YES
03_需求与设计/02_开发计划/task_z034b_01_candidate_pool.json	NO	candidate_pool	excluded from evidence-only ledger YES
03_需求与设计/02_开发计划/task_z034b_01_candidate_pool.tsv	NO	candidate_pool	excluded from evidence-only ledger YES
06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
07_后端/lingyi_service/app/schemas/report.py	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
07_后端/lingyi_service/app/services/report_catalog_service.py	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
07_后端/lingyi_service/app/services/system_config_catalog_service.py	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
07_后端/lingyi_service/tests/test_bom_permissions.py	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
07_后端/lingyi_service/tests/test_logging_sanitization.py	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
07_后端/lingyi_service/tests/test_permission_governance_audit_export.py	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
07_后端/lingyi_service/tests/test_request_id_sanitization.py	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
07_后端/lingyi_service/tests/test_style_profit_api.py	NO	historical_dirty_forbidden	excluded from evidence-only ledger YES
