field	value
task_id	TASK-Z029B-15-PREP-CAND002-FAILURE-DIAG
source_task	TASK-Z029B-14-IMPL
candidate_id	Z029-CAND-002
current_head	a487919d62f8838d683f50472bf09b8235d7da93
cached_empty	true
diff_check_pass	true
frozen_command	.venv/bin/python -m pytest tests/test_factory_statement_payable_worker.py -q
b14_result	FAIL
b14_command_run_count	1
b14_pytest_summary	12 failed, 2 passed, 25 warnings in 1.19s
target_test_path	07_后端/lingyi_service/tests/test_factory_statement_payable_worker.py
target_test_dirty_diff	false
failed_cases_count	12
failure_summary	All 12 failures stop in the target test helper _create_confirmed_statement at confirm status assertion: expected 200, observed 409.
classification	TEST_CONTRACT_UPDATE_ALLOWED
allowed_fix_file	07_后端/lingyi_service/tests/test_factory_statement_payable_worker.py
recommended_next_task	TASK-Z029B-16-FIX-CAND002
readonly_source_evidence_paths	["07_后端/lingyi_service/tests/test_factory_statement_payable_worker.py","07_后端/lingyi_service/app/services/factory_statement_payable_outbox_service.py","07_后端/lingyi_service/app/services/erpnext_purchase_invoice_adapter.py","07_后端/lingyi_service/app/models/factory_statement.py","07_后端/lingyi_service/app/core/error_codes.py"]
source_evidence_missing	[]
run_this_task	false
stage_performed	false
commit_performed	false
push_performed	false
tag_performed	false
pr_performed	false
release_performed	false
remote_lifecycle_parked	true
production_readback_ready	false
go_live_ready	false
project_completion_claimed	false
