field	value
TASK_ID	TASK-YISUAN-REALOBJ-B010-PREP-CAND002
HEAD	1465c5256dd83641c6d4b6cd5c1bbfc755cb89f5
branch	codex/sprint4-seal
cached_count	0
HEAD_tag_count	0
git_diff_check	PASS
selected_candidate	REALOBJ-CAND-002
module_scope	BOM/款式/面辅料本地真实对象与回读闭环
covered_contract_ids	["A002","A005"]
covered_routes	["/bom/list","/bom/detail"]
route_source_locations	{"/bom/list":"06_前端/lingyi-pc/src/router/index.ts:39-41","/bom/detail":"06_前端/lingyi-pc/src/router/index.ts:45-47"}
allowed_frontend_files	["06_前端/lingyi-pc/src/views/bom/BomList.vue","06_前端/lingyi-pc/src/views/bom/BomDetail.vue"]
allowed_frontend_files_exist	true
allowed_frontend_files_clean	true
allowed_backend_support_files	["07_后端/lingyi_service/app/local_dev.py"]
allowed_backend_support_files_exist	true
allowed_backend_support_files_clean	true
contract_source_A002	04_测试与验收/测试证据/yisuan_business_shadow_capture/YISUAN_CAP_A002_business_contract_merge_20260520/yisuan_development_contract_input.json
contract_source_A002_exists	true
contract_source_A005	04_测试与验收/测试证据/yisuan_business_shadow_capture/YISUAN_CAP_A005_style_field_color_size_material_contract_20260521/style_development_input.json
contract_source_A005_exists	true
local_object_model	["local_bom_header","local_bom_line","local_style_color_size_material_ref"]
local_dev_endpoint_plan	["GET /local-dev/bom/list?scenario_tag=<tag>","POST /local-dev/bom (test_data only)","PATCH /local-dev/bom/:id (test_data only)","GET /local-dev/bom/:id/readback?scenario_tag=<tag>","POST /local-dev/bom/:id/rollback"]
sqlite_storage_plan	["local_bom_header","local_bom_line","local_style_material_map"]
scenario_tag_required	true
test_data_used_in_impl	true
seed_data_used_default	false
rollback_required	true
zero_residual_required	true
frozen_evidence_routes_http_200	["/bom/list","/bom/detail"]
frozen_evidence_png_1440x1200	true
frozen_evidence_local_dev_write_only	true
frozen_evidence_create_update_success	true
frozen_evidence_local_object_id_created	true
frozen_evidence_readback_success	true
frozen_evidence_cancel_or_rollback_success	true
frozen_evidence_zero_residual	true
frozen_evidence_production_write_requests	0
frozen_evidence_erpnext_production_write_requests	0
frozen_evidence_real_production_account_used	false
frozen_evidence_typecheck_exit_code	0
frozen_evidence_dev_server_started_stopped	true
frozen_evidence_local_dev_server_started_stopped	true
tracked_dirty_count	16
frontend_dirty_count	3
backend_or_test_dirty_count	10
log_control_dirty_count	3
dirty_intersections	[]
unknown_dirty	[]
must_block_before_continue	[]
data_classification	local_real_object_test_data_only
sqlite_not_formal_database	true
sqlite_direct_reuse_for_production_forbidden	true
erpnext_production_connected	false
real_production_account_used	false
production_readback	false
go_live	false
project_completion	false
remote_lifecycle_parked	true
implementation_allowed	true
next_task	TASK-YISUAN-REALOBJ-B011-IMPL-CAND002
residual_risk	low
NEXT_ROLE	C Auditor
