decision	path	reason
YES	03_需求与设计/02_开发计划/TASK-Z027B-18-PREP_CAND003边界冻结报告.md	Z027-CAND-003 B18 boundary report
YES	03_需求与设计/02_开发计划/task_z027b_18_cand003_boundary.json	Z027-CAND-003 B18 boundary JSON
YES	03_需求与设计/02_开发计划/task_z027b_18_cand003_boundary.tsv	Z027-CAND-003 B18 boundary TSV
YES	03_需求与设计/02_开发计划/TASK-Z027B-19-IMPL_CAND003单文件验证报告.md	Z027-CAND-003 B19 readonly pytest report
YES	03_需求与设计/02_开发计划/task_z027b_19_cand003_result.json	Z027-CAND-003 B19 result JSON
YES	03_需求与设计/02_开发计划/task_z027b_19_cand003_result.tsv	Z027-CAND-003 B19 result TSV
YES	03_需求与设计/02_开发计划/task_z027b_19_cand003_stdout.txt	Z027-CAND-003 B19 stdout evidence
YES	03_需求与设计/02_开发计划/TASK-Z027B-20-PREP-CAND003-FAILURE-DIAG_失败定位报告.md	Z027-CAND-003 B20 failure diagnosis report
YES	03_需求与设计/02_开发计划/task_z027b_20_cand003_failure_boundary.json	Z027-CAND-003 B20 failure boundary JSON
YES	03_需求与设计/02_开发计划/task_z027b_20_cand003_failure_boundary.tsv	Z027-CAND-003 B20 failure boundary TSV
YES	03_需求与设计/02_开发计划/TASK-Z027B-21-FIX-CAND003_security_audit测试合同修复报告.md	Z027-CAND-003 B21 first fix report
YES	03_需求与设计/02_开发计划/task_z027b_21_cand003_fix_result.json	Z027-CAND-003 B21 first fix result JSON
YES	03_需求与设计/02_开发计划/task_z027b_21_cand003_fix_result.tsv	Z027-CAND-003 B21 first fix result TSV
YES	03_需求与设计/02_开发计划/task_z027b_21_cand003_fix_stdout.txt	Z027-CAND-003 B21 first fix stdout evidence
YES	03_需求与设计/02_开发计划/TASK-Z027B-22-PREP-CAND003-SECOND-FAILURE-DIAG_二次失败定位报告.md	Z027-CAND-003 B22 second failure diagnosis report
YES	03_需求与设计/02_开发计划/task_z027b_22_cand003_second_failure_boundary.json	Z027-CAND-003 B22 second failure boundary JSON
YES	03_需求与设计/02_开发计划/task_z027b_22_cand003_second_failure_boundary.tsv	Z027-CAND-003 B22 second failure boundary TSV
YES	03_需求与设计/02_开发计划/TASK-Z027B-23-FIX-CAND003-SECOND_security_audit二次修复报告.md	Z027-CAND-003 B23 second fix report
YES	03_需求与设计/02_开发计划/task_z027b_23_cand003_second_fix_result.json	Z027-CAND-003 B23 second fix result JSON
YES	03_需求与设计/02_开发计划/task_z027b_23_cand003_second_fix_result.tsv	Z027-CAND-003 B23 second fix result TSV
YES	03_需求与设计/02_开发计划/task_z027b_23_cand003_second_fix_stdout.txt	Z027-CAND-003 B23 second fix stdout evidence
YES	03_需求与设计/02_开发计划/TASK-Z027B-24-LEDGER-CAND003_security_audit提交候选账本报告.md	Z027-CAND-003 B24 ledger report
YES	03_需求与设计/02_开发计划/task_z027b_24_cand003_freeze.json	Z027-CAND-003 B24 freeze JSON
YES	03_需求与设计/02_开发计划/task_z027b_24_cand003_ledger.json	Z027-CAND-003 B24 ledger JSON
YES	03_需求与设计/02_开发计划/task_z027b_24_cand003_ledger.tsv	Z027-CAND-003 B24 ledger TSV
YES	07_后端/lingyi_service/tests/test_security_audit.py	Only allowed backend test file for Z027-CAND-003
NO	06_前端/**	Frontend is outside Z027-CAND-003 ledger scope
NO	07_后端/lingyi_service/app/**	Backend app source is outside Z027-CAND-003 ledger scope
NO	03_需求与设计/02_开发计划/工程师会话日志.md	Shared engineer log is excluded
NO	03_需求与设计/01_架构设计/架构师会话日志.md	Shared architect log is excluded
NO	03_需求与设计/02_开发计划/task_z027b_01_candidate_pool.json	Z027 candidate pool is excluded
NO	03_需求与设计/02_开发计划/task_z027b_01_candidate_pool.tsv	Z027 candidate pool TSV is excluded
NO	03_需求与设计/02_开发计划/TASK-Z027B-01-PREP_Z027本地候选池冻结报告.md	Z027 candidate pool report is excluded
NO	03_需求与设计/02_开发计划/task_z027b_17_remaining_refresh.json	B17 refresh is excluded
NO	03_需求与设计/02_开发计划/task_z027b_17_remaining_refresh.tsv	B17 refresh TSV is excluded
NO	03_需求与设计/02_开发计划/TASK-Z027B-17-PREP_Z027剩余候选刷新报告.md	B17 refresh report is excluded
NO	03_需求与设计/02_开发计划/task_z027b_07_cand001_archive_result.json	CAND001 archive result is excluded
NO	03_需求与设计/02_开发计划/task_z027b_07_cand001_archive_result.tsv	CAND001 archive TSV is excluded
NO	03_需求与设计/02_开发计划/TASK-Z027B-07-ARCHIVE-CAND001_Z027_CAND001归档确认报告.md	CAND001 archive report is excluded
NO	03_需求与设计/02_开发计划/task_z027b_16_cand002_archive_result.json	CAND002 archive result is excluded
NO	03_需求与设计/02_开发计划/task_z027b_16_cand002_archive_result.tsv	CAND002 archive TSV is excluded
NO	03_需求与设计/02_开发计划/TASK-Z027B-16-ARCHIVE-CAND002_BOM_audit归档确认报告.md	CAND002 archive report is excluded
NO	03_需求与设计/02_开发计划/task_z027b_04_cand001_ledger.json	CAND001 ledger is excluded
NO	03_需求与设计/02_开发计划/task_z027b_13_cand002_ledger.json	CAND002 ledger is excluded
NO	03_需求与设计/02_开发计划/*cand004*	CAND004 scope is excluded
NO	03_需求与设计/02_开发计划/*cand005*	CAND005 scope is excluded
NO	03_需求与设计/02_开发计划/TASK-Z026B-*	Old cycle Z026 artifacts are excluded
NO	03_需求与设计/02_开发计划/task_z026b_*	Old cycle Z026 artifacts are excluded
NO	03_需求与设计/02_开发计划/TASK-Z025B-*	Old cycle Z025 artifacts are excluded
NO	03_需求与设计/02_开发计划/task_z025b_*	Old cycle Z025 artifacts are excluded
NO	07_后端/lingyi_service/tests/test_bom_audit.py	Other backend tests are outside CAND003 scope
NO	07_后端/lingyi_service/tests/test_sales_inventory_adapter.py	Other backend tests are outside CAND003 scope
NO	**/__pycache__/**	Runtime cache is excluded
NO	**/.pytest_cache/**	Pytest cache is excluded
NO	node_modules/**	Node runtime dependencies are excluded
NO	dist/**	Build output is excluded
