entry_id	key	value
Z001	source_head	c1f0ee849868f03b658e4c0c43ba511e774c2706
Z002	parent	1adab5edb083b7466a7eff4d63fb70dc820ee850
Z003	source_subject	chore: seal z005 readback local status
Z004	committed_task	TASK-Z005B-19
Z005	committed_count	4
Z006	missing	[]
Z007	extra	[]
Z008	committed_no_intersection	[]
Z009	readback_business_closed	true
Z010	readback_business_closed_scope	local_dev_static_fallback_only
Z011	project_completion_claimed	false
Z012	remote_lifecycle_parked	true
Z013	recommended_next_task_id	null
Z014	recommended_next_task_type	null
Z015	next_action_state	WAIT_FOR_A_OR_USER_DECISION
Z016	factory_statement_scenario_carrier_compatibility_fix	closed
Z017	legal_statement_id_generation	closed
Z018	factory_statement_list_detail_readback	closed
Z019	cancel_zero_residual	closed
Z020	warehouse_alerts_local_dev_static_empty_state_readback	closed
Z021	warehouse_batches_local_dev_static_empty_state_readback	closed
Z022	unauthorized_push_pr_tag_release_cleanup	true
Z023	unauthorized_production_write	true
Z024	unauthorized_erpnext_write	true
Z025	unauthorized_worker_internal_sync_job	true
Z026	new_impl_candidate_generated	false
Z027	remote_lifecycle_action_executed	false
Z028	project_completion_declared	false
