field	value
task_id	TASK-Z029B-06-PREP-CAND001-SECOND-FAILURE-DIAG
candidate_id	Z029-CAND-001
source_task	TASK-Z029B-05-FIX-CAND001
previous_boundary_task	TASK-Z029B-04-PREP-CAND001-FAILURE-DIAG
current_head	765441c1248ebb8e83f9835e7f7a1f931a1d0687
cached_empty	true
git_diff_check	PASS
b05_result	FAIL
b05_command_run_count	1
b05_pytest_summary	1 failed, 14 passed, 57 warnings in 1.31s
target_test_path	07_后端/lingyi_service/tests/test_factory_statement_payable_api.py
remaining_failed_cases_count	1
remaining_failed_case	FactoryStatementPayableApiTest::test_erpnext_unavailable_fail_closed
observed_status	200
expected_status	503
observed_expected_diff_summary	expected 503 observed 200 for ERPNext unavailable branch under local dev sqlite mode
readonly_source_evidence_paths	07_后端/lingyi_service/tests/test_factory_statement_payable_api.py;07_后端/lingyi_service/tests/test_factory_statement_api.py;07_后端/lingyi_service/app/routers/factory_statement.py;07_后端/lingyi_service/app/services/factory_statement_payable_outbox_service.py;07_后端/lingyi_service/app/services/erpnext_purchase_invoice_adapter.py;07_后端/lingyi_service/app/models/factory_statement.py;07_后端/lingyi_service/app/services/factory_statement_service.py
source_evidence_missing	[]
classification	TEST_CONTRACT_UPDATE_ALLOWED
allowed_fix_file	07_后端/lingyi_service/tests/test_factory_statement_payable_api.py
recommended_next_task	TASK-Z029B-07-FIX-CAND001-SECOND
run_this_task	false
stage_performed	false
commit_performed	false
push_performed	false
tag_performed	false
pr_performed	false
release_performed	false
remote_lifecycle_parked	true
production_readback_ready	false
go_live_ready	false
project_completion_claimed	false
